ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/01/2026,Child,Letterkenny University Hospital,51,4,2,2,58
29/01/2026,Child,Mayo University Hospital,4,1,0,0,5
29/01/2026,Child,Midland Regional Hospital Mullingar,12,2,0,0,14
29/01/2026,Child,Midland Regional Hospital Portlaoise,19,0,0,0,19
29/01/2026,Child,Midland Regional Hospital Tullamore,222,59,2,2,284
29/01/2026,Child,National Orthopaedic Hospital Cappagh,27,5,0,0,32
29/01/2026,Child,Nenagh Hospital,10,2,0,0,12
29/01/2026,Child,Our Lady of Lourdes Hospital Drogheda,66,20,4,7,96
29/01/2026,Child,Portiuncula University Hospital,24,0,0,0,24
29/01/2026,Child,Roscommon University Hospital,5,2,0,0,7
29/01/2026,Child,Rotunda Hospital,2,0,0,0,2
29/01/2026,Child,Royal Victoria Eye and Ear Hospital,49,29,15,8,101
29/01/2026,Child,Sligo University Hospital,107,14,16,7,144
29/01/2026,Child,South Infirmary Victoria University Hospital,247,49,9,6,311
29/01/2026,Child,St. Luke's General Hospital Kilkenny,3,0,0,0,3
29/01/2026,Child,Tipperary University Hospital,26,0,0,0,26
29/01/2026,Child,University Hospital Kerry,12,1,1,0,15
29/01/2026,Child,University Hospital Limerick,205,96,23,0,324
29/01/2026,Child,University Hospital Waterford,183,92,27,52,354
29/01/2026,Child,Wexford General Hospital,15,2,0,0,16
26/02/2026,Adult,Bantry General Hospital,128,0,0,0,128
26/02/2026,Adult,Beaumont Hospital,"5,618","3,332","1,683","1,394","12,026"
26/02/2026,Adult,Cavan General Hospital,411,7,0,0,418
26/02/2026,Adult,Connolly Hospital Blanchardstown,"1,575",331,31,8,"1,944"
26/02/2026,Adult,Coombe Women and Infants University Hospital,24,3,0,0,27
26/02/2026,Adult,Cork University Hospital,"1,131",413,203,73,"1,819"
26/02/2026,Adult,Cork University Maternity Hospital,613,83,4,0,700
26/02/2026,Adult,Croom Orthopaedic Hospital,548,263,101,0,912
26/02/2026,Adult,Ennis Hospital,511,179,8,2,700
26/02/2026,Adult,Galway University Hospitals,"7,101","2,703","1,640","1,920","13,364"
26/02/2026,Adult,Kilcreene Regional Orthopaedic Hospital,550,204,13,0,767
26/02/2026,Adult,Letterkenny University Hospital,"2,709",479,141,68,"3,397"
26/02/2026,Adult,Louth County Hospital,532,68,2,0,603
26/02/2026,Adult,Mallow General Hospital,267,118,10,0,394
26/02/2026,Adult,Mater Misericordiae University Hospital,"5,884","2,391",944,"1,491","10,711"
26/02/2026,Adult,Mayo University Hospital,981,192,44,15,"1,231"
26/02/2026,Adult,Mercy University Hospital,827,300,52,12,"1,191"
26/02/2026,Adult,Midland Regional Hospital Mullingar,365,61,4,0,430
26/02/2026,Adult,Midland Regional Hospital Portlaoise,202,55,32,14,302
26/02/2026,Adult,Midland Regional Hospital Tullamore,"1,425",657,282,109,"2,473"
26/02/2026,Adult,Naas General Hospital,317,67,26,0,410
26/02/2026,Adult,National Maternity Hospital (Holles Street),329,108,58,52,547
26/02/2026,Adult,National Orthopaedic Hospital Cappagh,"1,551",352,53,2,"1,958"
26/02/2026,Adult,Nenagh Hospital,977,705,192,6,"1,879"
26/02/2026,Adult,Our Lady of Lourdes Hospital Drogheda,597,219,121,52,990
26/02/2026,Adult,Our Lady's Hospital Navan,591,76,1,0,668
26/02/2026,Adult,Portiuncula University Hospital,417,69,26,12,524
26/02/2026,Adult,Roscommon University Hospital,632,101,35,77,846
26/02/2026,Adult,Rotunda Hospital,441,93,8,5,547
26/02/2026,Adult,Royal Victoria Eye and Ear Hospital,"2,196",985,244,321,"3,746"
26/02/2026,Adult,Sligo University Hospital,"2,063",646,292,272,"3,274"
26/02/2026,Adult,South Infirmary Victoria University Hospital,"3,092",910,456,384,"4,841"
26/02/2026,Adult,St. Columcille's Hospital,395,71,14,2,482
26/02/2026,Adult,St. James's Hospital,"4,254","1,510",470,471,"6,706"
26/02/2026,Adult,St. John's Hospital Limerick,674,299,17,5,995
26/02/2026,Adult,St. Luke's General Hospital Kilkenny,454,139,31,19,643
26/02/2026,Adult,St. Michael's Hospital,"1,059",321,107,54,"1,540"
26/02/2026,Adult,St. Vincent's University Hospital,"3,299",782,349,227,"4,657"
26/02/2026,Adult,Tallaght University Hospital,"3,345","1,096",600,485,"5,526"
26/02/2026,Adult,Tipperary University Hospital,453,98,7,2,560
26/02/2026,Adult,University Hospital Kerry,510,82,13,0,605
26/02/2026,Adult,University Hospital Limerick,"1,669",895,474,249,"3,287"
26/02/2026,Adult,University Hospital Waterford,"3,393","1,055",461,781,"5,690"
