ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
26/01/2023,Adult,Anaesthetics,64,0,0,0,64
26/01/2023,Adult,Breast Surgery,100,56,21,34,211
26/01/2023,Adult,Cardio-Thoracic Surgery,255,50,22,26,353
26/01/2023,Adult,Cardiology,"2,662",535,88,109,"3,394"
26/01/2023,Adult,Clinical Immunology,147,88,5,0,240
26/01/2023,Adult,Dental Surgery,48,4,4,2,57
26/01/2023,Adult,Dermatology,732,135,48,27,942
26/01/2023,Adult,Endocrinology,15,11,2,7,34
26/01/2023,Adult,Gastro-Enterology,320,82,27,106,535
26/01/2023,Adult,Gastro-Intestinal Surgery,309,127,50,151,637
26/01/2023,Adult,General Medicine,198,27,12,4,240
26/01/2023,Adult,General Surgery,"8,324","2,474","1,045","1,501","13,344"
26/01/2023,Adult,Gynaecology,"3,939","1,203",402,421,"5,965"
26/01/2023,Adult,Haematology,31,0,0,2,33
26/01/2023,Adult,Hepato-Biliary Surgery,22,6,11,7,45
26/01/2023,Adult,Maxillo-Facial,833,354,44,192,"1,423"
26/01/2023,Adult,Nephrology,33,2,2,2,38
26/01/2023,Adult,Neurology,221,54,6,46,327
26/01/2023,Adult,Neurosurgery,355,209,32,32,628
26/01/2023,Adult,Oncology,58,2,0,0,60
26/01/2023,Adult,Ophthalmology,"6,369","2,065",437,592,"9,463"
26/01/2023,Adult,Oral Surgery,173,206,65,158,602
26/01/2023,Adult,Orthopaedics,"6,253","1,938",568,"1,127","9,886"
26/01/2023,Adult,Otolaryngology (ENT),"2,751","1,218",352,454,"4,775"
26/01/2023,Adult,Pain Relief,"2,750","1,340",353,473,"4,916"
26/01/2023,Adult,Plastic Surgery,"2,860","1,063",459,946,"5,328"
26/01/2023,Adult,Respiratory Medicine,416,231,24,7,678
26/01/2023,Adult,Rheumatology,366,105,26,0,497
26/01/2023,Adult,Small Volume Specialties,13,8,6,6,32
26/01/2023,Adult,Urology,"5,870","1,299",412,712,"8,293"
26/01/2023,Adult,Vascular Surgery,"1,179",301,90,121,"1,691"
26/01/2023,Child,Cardio-Thoracic Surgery,64,13,2,0,79
26/01/2023,Child,Clinical Immunology,190,132,77,5,404
26/01/2023,Child,Dental Surgery,145,70,25,57,297
26/01/2023,Child,General Surgery,197,58,26,20,301
26/01/2023,Child,Immunology,42,40,23,17,122
26/01/2023,Child,Maxillo-Facial,100,39,8,13,160
26/01/2023,Child,Ophthalmology,423,206,67,43,739
26/01/2023,Child,Oral Surgery,30,36,2,2,70
26/01/2023,Child,Orthopaedics,216,134,23,28,401
26/01/2023,Child,Otolaryngology (ENT),696,139,15,14,864
26/01/2023,Child,Paed Cardiology,157,42,14,9,222
26/01/2023,Child,Paed Endocrinology,18,4,2,0,24
