ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
27/01/2022,Adult,Anaesthetics,243,43,0,2,288
27/01/2022,Adult,Breast Surgery,85,25,21,37,169
27/01/2022,Adult,Cardio-Thoracic Surgery,275,40,21,40,376
27/01/2022,Adult,Cardiology,"2,316",731,284,192,"3,523"
27/01/2022,Adult,Clinical Immunology,124,8,0,18,150
27/01/2022,Adult,Dental Surgery,43,20,6,4,74
27/01/2022,Adult,Dermatology,919,163,41,71,"1,194"
27/01/2022,Adult,Endocrinology,4,4,15,15,39
27/01/2022,Adult,Gastro-Enterology,276,97,44,101,518
27/01/2022,Adult,Gastro-Intestinal Surgery,187,86,39,164,476
27/01/2022,Adult,General Medicine,258,54,43,31,387
27/01/2022,Adult,General Surgery,"7,744","2,484",940,"1,754","12,922"
27/01/2022,Adult,Gynaecology,"3,338","1,134",490,606,"5,568"
27/01/2022,Adult,Haematology,20,0,2,0,22
27/01/2022,Adult,Hepato-Biliary Surgery,15,14,6,35,71
27/01/2022,Adult,Maxillo-Facial,301,133,63,227,724
27/01/2022,Adult,Nephrology,41,12,0,2,55
27/01/2022,Adult,Neurology,211,41,11,96,360
27/01/2022,Adult,Neurosurgery,308,155,37,17,518
27/01/2022,Adult,Oncology,43,0,2,2,48
27/01/2022,Adult,Ophthalmology,"5,583","1,091",458,709,"7,841"
27/01/2022,Adult,Oral Surgery,167,134,63,110,474
27/01/2022,Adult,Orthopaedics,"5,959","1,766",888,"1,633","10,246"
27/01/2022,Adult,Otolaryngology (ENT),"2,233",562,272,628,"3,695"
27/01/2022,Adult,Pain Relief,"2,718",918,671,644,"4,951"
27/01/2022,Adult,Plastic Surgery,"2,360",844,442,817,"4,463"
27/01/2022,Adult,Radiology,20,11,11,0,43
27/01/2022,Adult,Respiratory Medicine,395,49,23,80,547
27/01/2022,Adult,Rheumatology,208,53,31,16,309
27/01/2022,Adult,Small Volume Specialties,13,7,4,9,33
27/01/2022,Adult,Urology,"5,156","1,218",666,"1,200","8,240"
27/01/2022,Adult,Vascular Surgery,917,226,102,204,"1,449"
27/01/2022,Child,Cardio-Thoracic Surgery,61,10,2,0,73
27/01/2022,Child,Clinical Immunology,179,32,4,10,224
27/01/2022,Child,Dental Surgery,109,55,36,70,269
27/01/2022,Child,General Surgery,222,38,20,17,296
27/01/2022,Child,Immunology,55,46,8,2,110
27/01/2022,Child,Maxillo-Facial,60,28,10,5,103
27/01/2022,Child,Ophthalmology,328,161,84,82,654
27/01/2022,Child,Oral Surgery,13,7,7,2,28
27/01/2022,Child,Orthopaedics,258,65,23,35,381
27/01/2022,Child,Otolaryngology (ENT),413,63,38,60,574
27/01/2022,Child,Paed Cardiology,119,27,23,30,198
27/01/2022,Child,Paed Endocrinology,12,5,9,19,45
27/01/2022,Child,Paed Orthopaedic,467,235,150,290,"1,142"
27/01/2022,Child,Paediatric Dermatology,33,21,10,5,68
27/01/2022,Child,Paediatric ENT,280,93,80,164,617
27/01/2022,Child,Paediatric Neurology,12,4,5,12,33
27/01/2022,Child,Paediatric Radiology,17,13,9,25,63
27/01/2022,Child,Paediatric Respiratory Medicine,412,401,183,292,"1,287"
27/01/2022,Child,Paediatric Surgery,328,98,51,44,521
27/01/2022,Child,Paediatric Urology,134,78,48,114,374
27/01/2022,Child,Paediatrics,91,26,17,19,152
27/01/2022,Child,Plastic Surgery,223,57,49,71,399
27/01/2022,Child,Rheumatology,22,10,5,25,62
27/01/2022,Child,Small Volume Specialties,79,16,12,7,115
27/01/2022,Child,Urology,149,32,24,51,255
24/02/2022,Adult,Anaesthetics,240,35,2,2,279
24/02/2022,Adult,Breast Surgery,95,23,15,40,173
24/02/2022,Adult,Cardio-Thoracic Surgery,295,47,18,45,405
24/02/2022,Adult,Cardiology,"2,281",612,300,191,"3,384"
24/02/2022,Adult,Clinical Immunology,131,2,0,18,151
24/02/2022,Adult,Dental Surgery,45,11,4,2,62
24/02/2022,Adult,Dermatology,910,151,48,68,"1,177"
24/02/2022,Adult,Endocrinology,18,4,17,16,55
24/02/2022,Adult,Gastro-Enterology,283,95,50,100,528
24/02/2022,Adult,Gastro-Intestinal Surgery,213,85,43,166,507
24/02/2022,Adult,General Medicine,221,50,38,32,341
24/02/2022,Adult,General Surgery,"7,484","2,703",928,"1,781","12,896"
24/02/2022,Adult,Gynaecology,"3,386","1,228",433,621,"5,668"
24/02/2022,Adult,Haematology,31,0,2,0,33
24/02/2022,Adult,Hepato-Biliary Surgery,15,16,6,44,81
24/02/2022,Adult,Maxillo-Facial,320,132,61,214,727
24/02/2022,Adult,Nephrology,40,12,0,2,54
24/02/2022,Adult,Neurology,193,47,8,99,347
24/02/2022,Adult,Neurosurgery,329,153,47,31,560
24/02/2022,Adult,Oncology,52,4,2,2,60
24/02/2022,Adult,Ophthalmology,"5,658","1,123",457,697,"7,935"
24/02/2022,Adult,Oral Surgery,190,137,66,116,509
24/02/2022,Adult,Orthopaedics,"6,293","1,707",844,"1,629","10,473"
24/02/2022,Adult,Otolaryngology (ENT),"2,298",569,234,522,"3,623"
24/02/2022,Adult,Pain Relief,"2,679",950,608,644,"4,881"
24/02/2022,Adult,Plastic Surgery,"2,390",918,460,857,"4,625"
24/02/2022,Adult,Radiology,21,12,11,0,44
24/02/2022,Adult,Respiratory Medicine,647,46,30,68,791
24/02/2022,Adult,Rheumatology,193,71,33,17,314
24/02/2022,Adult,Small Volume Specialties,10,6,0,4,20
24/02/2022,Adult,Urology,"5,256","1,191",604,"1,146","8,197"
24/02/2022,Adult,Vascular Surgery,940,253,101,221,"1,515"
24/02/2022,Child,Cardio-Thoracic Surgery,62,13,2,2,78
24/02/2022,Child,Clinical Immunology,204,36,5,9,254
24/02/2022,Child,Dental Surgery,124,46,34,65,269
24/02/2022,Child,General Surgery,187,47,13,20,267
24/02/2022,Child,Immunology,46,40,12,2,100
24/02/2022,Child,Maxillo-Facial,70,21,11,2,103
24/02/2022,Child,Ophthalmology,316,135,74,75,600
24/02/2022,Child,Oral Surgery,24,4,4,2,34
24/02/2022,Child,Orthopaedics,264,72,16,38,390
24/02/2022,Child,Otolaryngology (ENT),388,43,16,22,469
24/02/2022,Child,Paed Cardiology,148,23,18,31,220
24/02/2022,Child,Paed Endocrinology,11,7,10,21,48
24/02/2022,Child,Paed Gastro-Enterol,45,2,2,0,49
24/02/2022,Child,Paed Orthopaedic,473,222,154,279,"1,128"
24/02/2022,Child,Paediatric Dermatology,34,6,15,5,59
24/02/2022,Child,Paediatric ENT,279,103,64,100,546
24/02/2022,Child,Paediatric Neurology,11,4,6,13,33
24/02/2022,Child,Paediatric Neurosurgery,21,0,4,0,25
24/02/2022,Child,Paediatric Radiology,22,18,9,25,73
24/02/2022,Child,Paediatric Respiratory Medicine,359,455,204,303,"1,321"
24/02/2022,Child,Paediatric Surgery,312,91,59,48,510
24/02/2022,Child,Paediatric Urology,126,67,63,124,380
24/02/2022,Child,Paediatrics,104,36,14,19,173
24/02/2022,Child,Plastic Surgery,216,65,43,66,390
24/02/2022,Child,Rheumatology,24,8,4,25,60
24/02/2022,Child,Small Volume Specialties,51,17,8,6,82
24/02/2022,Child,Urology,179,46,26,45,296
31/03/2022,Adult,Anaesthetics,213,31,0,2,246
31/03/2022,Adult,Breast Surgery,103,29,16,42,189
31/03/2022,Adult,Cardio-Thoracic Surgery,251,62,15,39,367
31/03/2022,Adult,Cardiology,"2,265",674,279,205,"3,423"
31/03/2022,Adult,Clinical Immunology,133,2,0,18,153
31/03/2022,Adult,Dental Surgery,43,13,5,2,63
31/03/2022,Adult,Dermatology,857,146,44,66,"1,113"
31/03/2022,Adult,Endocrinology,25,4,14,20,62
31/03/2022,Adult,Gastro-Enterology,310,91,47,96,543
31/03/2022,Adult,Gastro-Intestinal Surgery,210,86,50,141,487
31/03/2022,Adult,General Medicine,227,43,28,30,327
31/03/2022,Adult,General Surgery,"7,567","2,875",990,"1,818","13,250"
31/03/2022,Adult,Gynaecology,"3,381","1,330",426,637,"5,774"
31/03/2022,Adult,Haematology,22,2,2,0,25
31/03/2022,Adult,Hepato-Biliary Surgery,22,11,5,31,70
31/03/2022,Adult,Maxillo-Facial,382,150,70,232,834
31/03/2022,Adult,Nephrology,50,2,0,2,53
31/03/2022,Adult,Neurology,205,56,11,95,367
31/03/2022,Adult,Neurosurgery,314,174,64,45,596
31/03/2022,Adult,Oncology,35,2,0,2,38
31/03/2022,Adult,Ophthalmology,"6,243","1,203",441,651,"8,538"
31/03/2022,Adult,Oral Surgery,234,117,76,130,556
31/03/2022,Adult,Orthopaedics,"6,475","1,822",827,"1,659","10,783"
31/03/2022,Adult,Otolaryngology (ENT),"2,487",647,249,540,"3,923"
31/03/2022,Adult,Pain Relief,"2,658",948,587,637,"4,829"
31/03/2022,Adult,Plastic Surgery,"2,539",979,462,891,"4,871"
31/03/2022,Adult,Radiology,51,5,9,4,69
31/03/2022,Adult,Respiratory Medicine,480,64,26,52,622
31/03/2022,Adult,Rheumatology,213,76,41,19,348
31/03/2022,Adult,Small Volume Specialties,15,2,2,4,23
31/03/2022,Adult,Urology,"5,480","1,250",571,"1,133","8,434"
31/03/2022,Adult,Vascular Surgery,917,243,108,213,"1,481"
31/03/2022,Child,Cardio-Thoracic Surgery,56,14,7,2,79
31/03/2022,Child,Clinical Immunology,196,36,4,9,245
31/03/2022,Child,Dental Surgery,108,49,39,68,264
31/03/2022,Child,General Surgery,209,53,17,21,300
31/03/2022,Child,Immunology,35,26,25,2,88
31/03/2022,Child,Maxillo-Facial,71,20,13,4,108
31/03/2022,Child,Ophthalmology,327,157,74,79,637
31/03/2022,Child,Oral Surgery,34,4,2,2,42
31/03/2022,Child,Orthopaedics,324,83,19,37,463
31/03/2022,Child,Otolaryngology (ENT),416,57,18,29,520
31/03/2022,Child,Paed Cardiology,138,20,18,34,210
31/03/2022,Child,Paed Endocrinology,14,9,6,22,51
31/03/2022,Child,Paed Gastro-Enterol,37,4,2,0,43
31/03/2022,Child,Paed Metabolic Medicine,11,7,2,0,20
31/03/2022,Child,Paed Orthopaedic,383,233,144,235,995
31/03/2022,Child,Paediatric Dermatology,27,10,11,10,58
31/03/2022,Child,Paediatric ENT,273,103,62,110,548
31/03/2022,Child,Paediatric Neurology,9,4,4,4,21
31/03/2022,Child,Paediatric Radiology,16,19,14,26,75
31/03/2022,Child,Paediatric Respiratory Medicine,270,475,239,324,"1,308"
31/03/2022,Child,Paediatric Surgery,310,98,59,49,516
31/03/2022,Child,Paediatric Urology,148,62,86,126,422
31/03/2022,Child,Paediatrics,118,47,9,22,196
31/03/2022,Child,Plastic Surgery,200,72,43,61,376
31/03/2022,Child,Rheumatology,29,6,4,25,64
31/03/2022,Child,Small Volume Specialties,63,10,6,6,86
31/03/2022,Child,Urology,169,44,24,40,277
28/04/2022,Adult,Anaesthetics,214,37,0,0,251
28/04/2022,Adult,Breast Surgery,98,36,17,40,191
28/04/2022,Adult,Cardio-Thoracic Surgery,233,57,18,34,342
