ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
30/01/2025,Adult,Anaesthetics,178,0,0,0,178
30/01/2025,Adult,Breast Surgery,112,31,13,30,185
30/01/2025,Adult,Cardio-Thoracic Surgery,397,144,37,26,604
30/01/2025,Adult,Cardiology,"3,098",793,152,68,"4,111"
30/01/2025,Adult,Clinical Immunology,197,192,88,86,563
30/01/2025,Adult,Dermatology,"1,009",124,53,114,"1,300"
30/01/2025,Adult,Gastro-Enterology,383,50,25,12,471
30/01/2025,Adult,Gastro-Intestinal Surgery,288,174,113,218,794
30/01/2025,Adult,General Medicine,92,2,2,0,96
30/01/2025,Adult,General Surgery,"9,805","2,548",973,"1,253","14,579"
30/01/2025,Adult,Gynaecology,"4,198","1,094",365,261,"5,918"
30/01/2025,Adult,Haematology,26,0,0,0,26
30/01/2025,Adult,Hepato-Biliary Surgery,15,4,2,2,24
30/01/2025,Adult,Maxillo-Facial,"1,028",453,73,121,"1,675"
30/01/2025,Adult,Nephrology,34,10,2,0,47
30/01/2025,Adult,Neurology,197,70,12,11,290
30/01/2025,Adult,Neurosurgery,472,369,80,40,961
30/01/2025,Adult,Oncology,70,0,0,0,70
30/01/2025,Adult,Ophthalmology,"6,047","1,952",521,444,"8,964"
30/01/2025,Adult,Orthopaedics,"8,287","2,390",588,418,"11,683"
30/01/2025,Adult,Otolaryngology (ENT),"2,931","1,387","1,013",924,"6,256"
30/01/2025,Adult,Pain Relief,"4,029","1,964",432,390,"6,816"
30/01/2025,Adult,Plastic Surgery,"3,613","1,199",588,721,"6,121"
30/01/2025,Adult,Radiology,140,2,1,1,145
30/01/2025,Adult,Respiratory Medicine,616,136,61,161,974
30/01/2025,Adult,Rheumatology,66,20,14,17,117
30/01/2025,Adult,Small Volume Specialties,467,78,32,13,590
30/01/2025,Adult,Urology,"6,667","1,694",422,517,"9,300"
30/01/2025,Adult,Vascular Surgery,"1,390",665,216,89,"2,360"
30/01/2025,Child,Cardio-Thoracic Surgery,65,8,2,0,75
30/01/2025,Child,Clinical Immunology,106,78,53,101,338
30/01/2025,Child,Dental Surgery,103,60,34,52,249
30/01/2025,Child,General Surgery,142,47,4,0,193
30/01/2025,Child,Immunology,29,17,0,2,48
30/01/2025,Child,Maxillo-Facial,129,62,22,29,242
30/01/2025,Child,Ophthalmology,420,332,188,179,"1,119"
30/01/2025,Child,Orthopaedics,59,26,12,4,100
30/01/2025,Child,Otolaryngology (ENT),852,255,170,50,"1,326"
30/01/2025,Child,Paed Cardiology,128,40,8,0,176
