ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
25/01/2024,Adult,Anaesthetics,75,0,0,0,75
25/01/2024,Adult,Breast Surgery,94,26,23,43,185
25/01/2024,Adult,Cardio-Thoracic Surgery,284,56,13,17,370
25/01/2024,Adult,Cardiology,"2,951",555,112,32,"3,649"
25/01/2024,Adult,Clinical Immunology,188,158,73,35,454
25/01/2024,Adult,Dental Surgery,35,4,0,2,40
25/01/2024,Adult,Dermatology,776,89,92,86,"1,043"
25/01/2024,Adult,Gastro-Enterology,384,91,17,12,503
25/01/2024,Adult,Gastro-Intestinal Surgery,343,143,119,144,750
25/01/2024,Adult,General Medicine,62,18,4,0,83
25/01/2024,Adult,General Surgery,"8,767","2,219","1,010","1,481","13,477"
25/01/2024,Adult,Gynaecology,"3,887","1,200",305,270,"5,661"
25/01/2024,Adult,Hepato-Biliary Surgery,16,12,4,0,32
25/01/2024,Adult,Maxillo-Facial,558,324,155,164,"1,201"
25/01/2024,Adult,Neurology,158,40,8,7,212
25/01/2024,Adult,Neurosurgery,375,208,21,16,620
25/01/2024,Adult,Oncology,55,2,0,0,57
25/01/2024,Adult,Ophthalmology,"6,123","1,655",529,420,"8,727"
25/01/2024,Adult,Orthopaedics,"6,757","1,736",541,599,"9,633"
25/01/2024,Adult,Otolaryngology (ENT),"3,081","1,323",468,638,"5,510"
25/01/2024,Adult,Pain Relief,"3,350","1,675",345,320,"5,689"
25/01/2024,Adult,Plastic Surgery,"3,508","1,363",637,746,"6,254"
25/01/2024,Adult,Radiology,156,2,0,2,159
25/01/2024,Adult,Respiratory Medicine,556,215,34,101,906
25/01/2024,Adult,Rheumatology,216,52,28,17,313
25/01/2024,Adult,Small Volume Specialties,561,116,16,26,719
25/01/2024,Adult,Urology,"6,116","1,091",370,578,"8,154"
25/01/2024,Adult,Vascular Surgery,"1,396",360,80,65,"1,902"
25/01/2024,Child,Cardio-Thoracic Surgery,63,7,0,2,72
25/01/2024,Child,Clinical Immunology,93,73,94,85,345
25/01/2024,Child,Dental Surgery,112,72,36,53,273
25/01/2024,Child,General Surgery,157,29,18,9,213
25/01/2024,Child,Immunology,51,23,7,15,96
25/01/2024,Child,Maxillo-Facial,80,55,29,24,188
25/01/2024,Child,Ophthalmology,371,335,167,85,958
25/01/2024,Child,Orthopaedics,119,79,20,0,218
25/01/2024,Child,Otolaryngology (ENT),"1,133",395,45,17,"1,589"
25/01/2024,Child,Paed Cardiology,174,48,10,0,232
25/01/2024,Child,Paed Endocrinology,20,4,2,0,26
25/01/2024,Child,Paed Orthopaedic,354,227,104,205,890
25/01/2024,Child,Paediatric ENT,513,217,32,32,794
25/01/2024,Child,Paediatric Neurosurgery,27,8,4,7,46
25/01/2024,Child,Paediatric Radiology,8,4,12,28,52
25/01/2024,Child,Paediatric Respiratory Medicine,294,287,193,361,"1,135"
25/01/2024,Child,Paediatric Surgery,440,245,108,31,824
25/01/2024,Child,Paediatric Urology,190,161,59,66,476
25/01/2024,Child,Paediatrics,69,12,4,0,85
25/01/2024,Child,Plastic Surgery,288,170,33,49,540
25/01/2024,Child,Rheumatology,24,21,25,7,77
25/01/2024,Child,Small Volume Specialties,361,53,18,26,458
25/01/2024,Child,Urology,184,100,28,8,320
29/02/2024,Adult,Anaesthetics,79,2,2,0,83
29/02/2024,Adult,Breast Surgery,86,37,23,41,188
29/02/2024,Adult,Cardio-Thoracic Surgery,277,57,13,15,363
29/02/2024,Adult,Cardiology,"3,075",557,128,38,"3,797"
29/02/2024,Adult,Clinical Immunology,168,137,87,41,433
29/02/2024,Adult,Dental Surgery,31,0,2,2,35
29/02/2024,Adult,Dermatology,928,96,92,81,"1,197"
29/02/2024,Adult,Gastro-Enterology,355,90,12,4,460
29/02/2024,Adult,Gastro-Intestinal Surgery,376,135,122,138,771
29/02/2024,Adult,General Medicine,37,4,0,0,41
29/02/2024,Adult,General Surgery,"8,520","2,345","1,028","1,528","13,421"
29/02/2024,Adult,Gynaecology,"3,698","1,085",297,249,"5,329"
29/02/2024,Adult,Hepato-Biliary Surgery,19,8,4,2,33
29/02/2024,Adult,Maxillo-Facial,584,275,188,169,"1,215"
29/02/2024,Adult,Neurology,147,34,8,9,199
29/02/2024,Adult,Neurosurgery,402,209,47,25,683
29/02/2024,Adult,Oncology,59,2,0,0,61
29/02/2024,Adult,Ophthalmology,"6,135","1,852",508,432,"8,928"
29/02/2024,Adult,Orthopaedics,"6,612","1,583",520,570,"9,285"
