ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
13/05/2021,Adult,Obstetrics,7,7,0,0,13
13/05/2021,Adult,Oncology,39,4,2,0,46
13/05/2021,Adult,Ophthalmology,"4,480","1,250",681,850,"7,261"
13/05/2021,Adult,Oral Surgery,187,95,43,105,431
13/05/2021,Adult,Orthopaedics,"4,964","1,830","1,196","1,578","9,568"
13/05/2021,Adult,Otolaryngology (ENT),"1,632",656,527,694,"3,509"
13/05/2021,Adult,Pain Relief,"2,435","1,055",617,944,"5,052"
13/05/2021,Adult,Plastic Surgery,"1,968",727,504,745,"3,944"
13/05/2021,Adult,Radiology,92,149,78,87,406
13/05/2021,Adult,Respiratory Medicine,324,50,64,117,555
13/05/2021,Adult,Rheumatology,288,86,102,59,535
13/05/2021,Adult,Small Volume Specialties,9,2,0,2,13
13/05/2021,Adult,Urology,"5,055","1,798","1,208","1,256","9,317"
13/05/2021,Adult,Vascular Surgery,710,266,149,247,"1,372"
13/05/2021,Child,Cardio-Thoracic Surgery,58,8,2,0,68
13/05/2021,Child,Clinical Immunology,64,28,8,9,109
13/05/2021,Child,Dental Surgery,81,49,58,95,283
13/05/2021,Child,Dermatology,4,2,0,2,8
13/05/2021,Child,General Surgery,154,44,61,25,284
13/05/2021,Child,Gynaecology,4,2,4,0,10
13/05/2021,Child,Immunology,53,12,20,10,95
13/05/2021,Child,Maxillo-Facial,21,21,26,25,93
13/05/2021,Child,Neonatology,4,2,0,2,8
13/05/2021,Child,Neurosurgery,4,0,2,0,6
13/05/2021,Child,Ophthalmology,289,116,129,70,604
13/05/2021,Child,Oral Surgery,14,11,4,7,36
13/05/2021,Child,Orthopaedics,223,59,43,15,340
13/05/2021,Child,Otolaryngology (ENT),314,104,123,48,589
13/05/2021,Child,Paed Cardiology,118,39,20,30,207
13/05/2021,Child,Paed Endocrinology,8,6,8,7,28
13/05/2021,Child,Paed Gastro-Enterol,42,6,8,4,59
13/05/2021,Child,Paed Metabolic Medicine,4,0,2,2,8
13/05/2021,Child,Paed Nephrology,2,4,8,2,16
13/05/2021,Child,Paed Orthopaedic,442,234,203,286,"1,165"
13/05/2021,Child,Paediatric Dermatology,37,19,4,2,62
13/05/2021,Child,Paediatric ENT,223,201,105,124,653
13/05/2021,Child,Paediatric Infectious Diseases,6,2,4,0,12
13/05/2021,Child,Paediatric Neurology,8,6,4,2,19
13/05/2021,Child,Paediatric Neurosurgery,22,6,4,4,36
