ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
25/01/2024,Adult,Anaesthetics,23,2,0,0,25
25/01/2024,Adult,Breast Surgery,"2,508",17,0,0,"2,525"
25/01/2024,Adult,Cardio-Thoracic Surgery,343,41,21,39,444
25/01/2024,Adult,Cardiology,"22,355","10,669","2,871","1,654","37,549"
25/01/2024,Adult,Chemical Pathology,55,7,0,0,62
25/01/2024,Adult,Clinical (Medical) Genetics,701,721,633,922,"2,977"
25/01/2024,Adult,Clinical Immunology,"1,339",670,419,140,"2,568"
25/01/2024,Adult,Clinical Neurophysiology,716,390,282,243,"1,631"
25/01/2024,Adult,Dermatology,"26,780","12,315","3,547","5,262","47,904"
25/01/2024,Adult,Diabetes Mellitus,"1,305",449,75,27,"1,856"
25/01/2024,Adult,Endocrinology,"7,821","4,495","1,846","4,078","18,240"
25/01/2024,Adult,Gastro-Enterology,"10,884","4,006",819,284,"15,992"
25/01/2024,Adult,Gastro-Intestinal Surgery,252,81,44,8,385
25/01/2024,Adult,General Medicine,"8,624","3,611","1,232","1,178","14,644"
25/01/2024,Adult,General Surgery,"24,512","5,417","1,259",698,"31,886"
25/01/2024,Adult,Geriatric Medicine,"3,427",499,128,67,"4,120"
25/01/2024,Adult,Gynaecology,"21,510","5,240",940,609,"28,299"
25/01/2024,Adult,Haematology,"5,447","2,053",797,527,"8,825"
25/01/2024,Adult,Hepato-Biliary Surgery,83,20,0,0,103
25/01/2024,Adult,Infectious Diseases,771,271,392,2,"1,436"
25/01/2024,Adult,Maxillo-Facial,"1,796",538,334,815,"3,483"
25/01/2024,Adult,Metabolic Medicine,83,19,4,0,107
25/01/2024,Adult,Nephrology,"2,573",788,198,159,"3,718"
25/01/2024,Adult,Neurology,"10,133","5,301","2,261","3,773","21,468"
25/01/2024,Adult,Neurosurgery,"4,146","2,432","1,169","2,880","10,627"
25/01/2024,Adult,Oncology,514,20,10,0,544
25/01/2024,Adult,Ophthalmology,"16,410","7,661","3,818","5,054","32,942"
25/01/2024,Adult,Orthopaedics,"35,096","17,870","5,841","4,559","63,365"
25/01/2024,Adult,Other,2,21,0,0,23
25/01/2024,Adult,Otolaryngology (ENT),"20,022","8,012","2,784","4,382","35,201"
25/01/2024,Adult,Paediatric Dermatology,21,4,2,0,27
25/01/2024,Adult,Paediatrics,49,45,13,9,117
25/01/2024,Adult,Pain Relief,"6,353","3,661","1,994","1,523","13,531"
25/01/2024,Adult,Pathology,71,31,29,61,192
25/01/2024,Adult,Plastic Surgery,"7,258","2,926",857,"2,133","13,174"
25/01/2024,Adult,Psychiatry,393,15,2,0,411
25/01/2024,Adult,Radiotherapy,28,2,0,0,30
25/01/2024,Adult,Respiratory Medicine,"12,139","5,608","1,772","2,284","21,804"
25/01/2024,Adult,Rheumatology,"7,036","3,325","1,046","1,082","12,489"
25/01/2024,Adult,Small Volume Specialties,562,93,24,7,686
25/01/2024,Adult,Urology,"13,437","4,665","1,075","2,392","21,570"
25/01/2024,Adult,Vascular Surgery,"7,624","3,085","1,129",632,"12,470"
25/01/2024,Child,Cardio-Thoracic Surgery,46,10,0,0,56
25/01/2024,Child,Cardiology,24,7,4,2,37
25/01/2024,Child,Clinical (Medical) Genetics,85,412,82,16,595
25/01/2024,Child,Clinical Immunology,338,212,121,145,816
25/01/2024,Child,Dental Surgery,173,95,61,25,354
25/01/2024,Child,Dermatology,"1,541",691,275,601,"3,109"
25/01/2024,Child,Developmental Paediatrics,364,223,153,274,"1,015"
25/01/2024,Child,General Surgery,841,330,142,114,"1,427"
25/01/2024,Child,Gynaecology,361,141,71,17,591
25/01/2024,Child,Haematology,65,10,2,0,76
25/01/2024,Child,Immunology,183,69,33,12,297
25/01/2024,Child,Maxillo-Facial,194,100,65,89,448
25/01/2024,Child,Ophthalmology,"2,083",786,272,494,"3,635"
25/01/2024,Child,Orthopaedics,"1,432",730,280,413,"2,855"
25/01/2024,Child,Otolaryngology (ENT),"4,340","2,696",502,447,"7,985"
25/01/2024,Child,Paed Cardiology,"2,350","1,602",897,65,"4,913"
25/01/2024,Child,Paed Endocrinology,479,141,28,5,653
25/01/2024,Child,Paed Gastro-Enterol,476,261,90,86,913
25/01/2024,Child,Paed Haematology,234,52,2,2,290
25/01/2024,Child,Paed Metabolic Medicine,37,4,4,0,45
25/01/2024,Child,Paed Nephrology,301,167,65,30,563
25/01/2024,Child,Paed Orthopaedic,"1,757","1,053",754,673,"4,237"
25/01/2024,Child,Paediatric Dermatology,"2,632","1,864",628,887,"6,011"
25/01/2024,Child,Paediatric ENT,"2,674","1,953",828,"1,075","6,530"
25/01/2024,Child,Paediatric Infectious Diseases,53,7,2,2,64
25/01/2024,Child,Paediatric Neurology,751,304,95,2,"1,152"
25/01/2024,Child,Paediatric Neurosurgery,57,8,2,0,67
25/01/2024,Child,Paediatric Respiratory Medicine,677,420,173,216,"1,487"
25/01/2024,Child,Paediatric Surgery,"1,835","1,017",419,143,"3,414"
25/01/2024,Child,Paediatric Urology,623,360,122,30,"1,135"
25/01/2024,Child,Paediatrics,"12,649","5,072","1,323",480,"19,524"
25/01/2024,Child,Pain Relief,25,4,0,0,29
25/01/2024,Child,Plastic Surgery,717,273,110,110,"1,210"
25/01/2024,Child,Rheumatology,237,202,94,547,"1,080"
25/01/2024,Child,Small Volume Specialties,596,130,23,11,760
25/01/2024,Child,Urology,941,456,166,308,"1,871"
29/02/2024,Adult,Anaesthetics,32,0,0,0,32
29/02/2024,Adult,Breast Surgery,"2,736",23,0,0,"2,759"
29/02/2024,Adult,Cardio-Thoracic Surgery,380,36,19,37,472
29/02/2024,Adult,Cardiology,"22,910","11,031","3,183","1,786","38,909"
29/02/2024,Adult,Chemical Pathology,61,6,1,0,68
29/02/2024,Adult,Clinical (Medical) Genetics,688,673,640,876,"2,877"
29/02/2024,Adult,Clinical Immunology,"1,484",676,413,177,"2,750"
29/02/2024,Adult,Clinical Neurophysiology,825,428,278,208,"1,739"
29/02/2024,Adult,Dermatology,"27,014","13,233","3,806","5,597","49,650"
29/02/2024,Adult,Diabetes Mellitus,"1,342",461,83,25,"1,910"
29/02/2024,Adult,Endocrinology,"7,994","4,437","1,880","4,354","18,664"
29/02/2024,Adult,Gastro-Enterology,"11,337","3,873",823,291,"16,323"
29/02/2024,Adult,Gastro-Intestinal Surgery,347,72,52,2,473
29/02/2024,Adult,General Medicine,"8,402","3,289","1,116","1,084","13,891"
29/02/2024,Adult,General Surgery,"25,438","5,599","1,234",675,"32,946"
29/02/2024,Adult,Geriatric Medicine,"3,720",439,111,70,"4,340"
29/02/2024,Adult,Gynaecology,"22,159","5,254","1,029",585,"29,026"
29/02/2024,Adult,Haematology,"5,481","2,217",844,479,"9,020"
29/02/2024,Adult,Hepato-Biliary Surgery,108,21,0,0,129
29/02/2024,Adult,Infectious Diseases,671,285,443,2,"1,401"
29/02/2024,Adult,Maxillo-Facial,"1,876",522,306,753,"3,457"
29/02/2024,Adult,Metabolic Medicine,82,22,4,0,108
29/02/2024,Adult,Nephrology,"2,694",754,221,159,"3,828"
29/02/2024,Adult,Neurology,"10,860","5,173","2,378","3,546","21,957"
29/02/2024,Adult,Neurosurgery,"4,264","2,531","1,194","2,950","10,939"
29/02/2024,Adult,Oncology,566,24,6,0,596
29/02/2024,Adult,Ophthalmology,"16,458","7,342","3,969","5,398","33,167"
