ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
30/01/2025,Adult,Anaesthetics,64,6,0,0,71
30/01/2025,Adult,Breast Surgery,"2,434",7,2,0,"2,443"
30/01/2025,Adult,Cardio-Thoracic Surgery,333,47,14,8,403
30/01/2025,Adult,Cardiology,"22,404","10,933","2,456","1,564","37,356"
30/01/2025,Adult,Chemical Pathology,50,32,2,0,84
30/01/2025,Adult,Clinical (Medical) Genetics,878,596,393,757,"2,624"
30/01/2025,Adult,Clinical Immunology,"1,633","1,133",594,315,"3,675"
30/01/2025,Adult,Clinical Neurophysiology,822,407,195,18,"1,441"
30/01/2025,Adult,Dermatology,"27,021","13,237","5,548","5,059","50,864"
30/01/2025,Adult,Diabetes Mellitus,"1,382",542,103,24,"2,051"
30/01/2025,Adult,Endocrinology,"8,552","4,057","1,771","5,208","19,589"
30/01/2025,Adult,Gastro-Enterology,"12,251","3,892","1,169",318,"17,630"
30/01/2025,Adult,Gastro-Intestinal Surgery,234,203,0,0,437
30/01/2025,Adult,General Medicine,"6,821","2,716",644,816,"10,997"
30/01/2025,Adult,General Surgery,"25,136","4,699",776,96,"30,707"
30/01/2025,Adult,Geriatric Medicine,"3,469",526,34,47,"4,077"
30/01/2025,Adult,Gynaecology,"23,129","5,504",635,216,"29,485"
30/01/2025,Adult,Haematology,"6,284","2,572",845,334,"10,035"
30/01/2025,Adult,Hepato-Biliary Surgery,102,36,7,0,145
30/01/2025,Adult,Infectious Diseases,877,305,106,219,"1,507"
30/01/2025,Adult,Maxillo-Facial,"2,304",246,97,50,"2,696"
30/01/2025,Adult,Metabolic Medicine,90,34,2,0,126
30/01/2025,Adult,Nephrology,"2,733",804,155,160,"3,851"
30/01/2025,Adult,Neurology,"10,865","5,884","2,758","2,448","21,956"
30/01/2025,Adult,Neurosurgery,"4,615","3,099","1,095","2,368","11,177"
30/01/2025,Adult,Oncology,555,6,0,0,561
30/01/2025,Adult,Ophthalmology,"17,211","7,476","3,977","5,120","33,784"
30/01/2025,Adult,Orthopaedics,"37,214","16,573","4,891","2,630","61,309"
30/01/2025,Adult,Otolaryngology (ENT),"20,656","8,292","2,761","2,238","33,948"
30/01/2025,Adult,Paediatric Neurology,4,4,4,27,39
30/01/2025,Adult,Paediatrics,57,57,50,17,181
30/01/2025,Adult,Pain Relief,"6,964","4,244","1,765",967,"13,940"
30/01/2025,Adult,Pathology,53,51,32,51,187
30/01/2025,Adult,Plastic Surgery,"8,067","2,293",885,"2,089","13,333"
30/01/2025,Adult,Psychiatry,473,85,6,2,566
30/01/2025,Adult,Radiotherapy,38,0,0,0,38
30/01/2025,Adult,Respiratory Medicine,"12,623","6,906","2,649","2,234","24,411"
30/01/2025,Adult,Rheumatology,"7,657","2,852",691,512,"11,711"
30/01/2025,Adult,Small Volume Specialties,554,84,16,2,655
30/01/2025,Adult,Urology,"13,849","5,403","1,492","1,204","21,949"
30/01/2025,Adult,Vascular Surgery,"8,032","2,749",983,814,"12,579"
30/01/2025,Child,Cardio-Thoracic Surgery,41,2,0,0,43
30/01/2025,Child,Cardiology,11,3,12,0,27
30/01/2025,Child,Clinical (Medical) Genetics,44,13,14,0,71
30/01/2025,Child,Clinical Immunology,379,217,121,50,767
30/01/2025,Child,Dental Surgery,166,132,45,71,414
30/01/2025,Child,Dermatology,"1,702",980,454,626,"3,762"
30/01/2025,Child,Developmental Paediatrics,358,204,125,107,794
30/01/2025,Child,General Surgery,775,292,46,3,"1,116"
30/01/2025,Child,Gynaecology,327,133,74,2,536
30/01/2025,Child,Haematology,27,3,0,0,30
30/01/2025,Child,Immunology,208,104,25,31,368
30/01/2025,Child,Maxillo-Facial,285,47,11,8,350
30/01/2025,Child,Ophthalmology,"1,840",647,392,433,"3,312"
30/01/2025,Child,Orthopaedics,"1,281",465,169,367,"2,282"
30/01/2025,Child,Otolaryngology (ENT),"4,219","2,764",792,484,"8,259"
30/01/2025,Child,Paed Cardiology,"2,062","1,251",241,10,"3,563"
30/01/2025,Child,Paed Endocrinology,477,198,35,2,712
30/01/2025,Child,Paed Gastro-Enterol,609,159,67,144,979
30/01/2025,Child,Paed Haematology,262,52,0,0,314
30/01/2025,Child,Paed Metabolic Medicine,39,0,2,0,41
30/01/2025,Child,Paed Nephrology,283,145,92,74,594
30/01/2025,Child,Paed Orthopaedic,"1,632",797,460,743,"3,632"
30/01/2025,Child,Paediatric Dermatology,"2,530","1,924",951,781,"6,186"
30/01/2025,Child,Paediatric ENT,"2,508","2,001",858,899,"6,266"
30/01/2025,Child,Paediatric Infectious Diseases,44,7,2,2,56
30/01/2025,Child,Paediatric Neurology,721,451,330,156,"1,658"
30/01/2025,Child,Paediatric Neurosurgery,52,4,0,0,57
30/01/2025,Child,Paediatric Respiratory Medicine,849,515,169,134,"1,667"
30/01/2025,Child,Paediatric Surgery,"1,242",418,118,2,"1,780"
30/01/2025,Child,Paediatric Urology,"1,169",738,172,19,"2,098"
30/01/2025,Child,Paediatrics,"11,797","4,519","1,749",390,"18,456"
30/01/2025,Child,Pain Relief,35,12,4,0,52
30/01/2025,Child,Plastic Surgery,783,219,46,100,"1,148"
30/01/2025,Child,Rheumatology,279,162,69,197,707
30/01/2025,Child,Small Volume Specialties,535,98,29,10,672
30/01/2025,Child,Urology,934,588,209,131,"1,862"
27/02/2025,Adult,Anaesthetics,32,2,0,0,34
27/02/2025,Adult,Breast Surgery,"2,498",4,0,0,"2,502"
27/02/2025,Adult,Cardio-Thoracic Surgery,380,47,14,8,449
27/02/2025,Adult,Cardiology,"23,042","11,054","2,708","1,677","38,481"
27/02/2025,Adult,Chemical Pathology,47,43,2,0,92
27/02/2025,Adult,Clinical (Medical) Genetics,799,634,410,745,"2,588"
27/02/2025,Adult,Clinical Immunology,"1,565","1,138",647,360,"3,710"
27/02/2025,Adult,Clinical Neurophysiology,289,69,0,2,360
27/02/2025,Adult,Dermatology,"27,342","13,450","5,803","5,242","51,838"
27/02/2025,Adult,Diabetes Mellitus,"1,342",517,102,23,"1,984"
27/02/2025,Adult,Endocrinology,"8,560","4,054","1,905","5,285","19,805"
27/02/2025,Adult,Gastro-Enterology,"12,420","4,136","1,202",370,"18,128"
27/02/2025,Adult,Gastro-Intestinal Surgery,196,172,5,0,373
27/02/2025,Adult,General Medicine,"6,901","2,812",740,868,"11,322"
27/02/2025,Adult,General Surgery,"26,914","4,730",864,121,"32,630"
27/02/2025,Adult,Geriatric Medicine,"3,462",498,31,22,"4,013"
27/02/2025,Adult,Gynaecology,"23,617","5,492",710,187,"30,007"
27/02/2025,Adult,Haematology,"6,487","2,599",897,354,"10,337"
27/02/2025,Adult,Hepato-Biliary Surgery,84,34,13,0,131
27/02/2025,Adult,Infectious Diseases,899,345,107,236,"1,587"
27/02/2025,Adult,Maxillo-Facial,"2,172",234,101,109,"2,615"
27/02/2025,Adult,Metabolic Medicine,102,23,2,0,127
27/02/2025,Adult,Nephrology,"2,714",809,175,170,"3,867"
27/02/2025,Adult,Neurology,"10,828","5,750","2,822","2,438","21,837"
27/02/2025,Adult,Neurosurgery,"4,686","3,114","1,306","1,904","11,010"
27/02/2025,Adult,Oncology,546,10,0,0,556
27/02/2025,Adult,Ophthalmology,"17,559","7,785","4,080","5,161","34,585"
27/02/2025,Adult,Orthopaedics,"37,571","16,772","5,060","2,781","62,184"
27/02/2025,Adult,Otolaryngology (ENT),"20,505","8,250","2,853","2,319","33,926"
27/02/2025,Adult,Paed Cardiology,4,9,7,2,21
27/02/2025,Adult,Paediatric Neurology,4,4,4,29,41
27/02/2025,Adult,Paediatrics,58,49,51,11,169
27/02/2025,Adult,Pain Relief,"6,865","4,204","1,864","1,012","13,946"
27/02/2025,Adult,Pathology,48,53,33,50,184
27/02/2025,Adult,Plastic Surgery,"8,012","2,390",928,"2,058","13,387"
27/02/2025,Adult,Psychiatry,503,83,13,4,602
27/02/2025,Adult,Radiotherapy,36,0,0,0,36
27/02/2025,Adult,Respiratory Medicine,"12,700","6,930","2,814","2,205","24,650"
27/02/2025,Adult,Rheumatology,"7,432","2,652",780,444,"11,308"
27/02/2025,Adult,Small Volume Specialties,494,75,14,2,586
27/02/2025,Adult,Urology,"13,860","5,534","1,537","1,255","22,187"
27/02/2025,Adult,Vascular Surgery,"7,746","2,961",961,775,"12,443"
27/02/2025,Child,Cardio-Thoracic Surgery,26,2,2,0,30
27/02/2025,Child,Cardiology,14,7,12,0,32
27/02/2025,Child,Clinical (Medical) Genetics,38,8,26,0,72
27/02/2025,Child,Clinical Immunology,377,207,135,53,772
27/02/2025,Child,Dental Surgery,152,128,48,75,403
27/02/2025,Child,Dermatology,"1,784",989,477,626,"3,877"
27/02/2025,Child,Developmental Paediatrics,374,194,103,93,764
27/02/2025,Child,General Surgery,761,250,56,1,"1,068"
27/02/2025,Child,Gynaecology,419,119,72,2,613
27/02/2025,Child,Haematology,35,2,0,0,37
27/02/2025,Child,Immunology,231,93,29,27,380
27/02/2025,Child,Maxillo-Facial,269,48,12,10,338
27/02/2025,Child,Ophthalmology,"1,920",642,389,459,"3,410"
27/02/2025,Child,Orthopaedics,"1,393",472,176,373,"2,414"
27/02/2025,Child,Otolaryngology (ENT),"4,273","2,535",917,495,"8,219"
27/02/2025,Child,Paed Cardiology,"2,217","1,250",192,97,"3,756"
27/02/2025,Child,Paed Endocrinology,470,201,39,2,712
27/02/2025,Child,Paed Gastro-Enterol,630,167,66,142,"1,005"
27/02/2025,Child,Paed Haematology,253,51,2,0,306
27/02/2025,Child,Paed Metabolic Medicine,30,2,0,0,32
27/02/2025,Child,Paed Nephrology,275,133,84,80,572
27/02/2025,Child,Paed Orthopaedic,"1,626",741,457,715,"3,539"
27/02/2025,Child,Paediatric Dermatology,"2,504","1,937","1,015",841,"6,297"
27/02/2025,Child,Paediatric ENT,"2,575","1,876",988,890,"6,329"
27/02/2025,Child,Paediatric Infectious Diseases,42,9,6,2,59
27/02/2025,Child,Paediatric Neurology,712,414,354,170,"1,650"
27/02/2025,Child,Paediatric Neurosurgery,54,2,0,0,56
27/02/2025,Child,Paediatric Respiratory Medicine,877,490,193,142,"1,702"
27/02/2025,Child,Paediatric Surgery,"1,230",403,74,0,"1,707"
27/02/2025,Child,Paediatric Urology,"1,165",723,255,11,"2,154"
27/02/2025,Child,Paediatrics,"11,860","4,331","1,822",292,"18,306"
27/02/2025,Child,Pain Relief,36,7,2,2,47
27/02/2025,Child,Plastic Surgery,791,251,57,104,"1,202"
27/02/2025,Child,Rheumatology,257,109,66,186,618
27/02/2025,Child,Small Volume Specialties,539,98,29,8,675
27/02/2025,Child,Urology,974,569,240,142,"1,925"
27/03/2025,Adult,Anaesthetics,52,4,0,0,56
27/03/2025,Adult,Breast Surgery,"2,444",6,0,0,"2,450"
27/03/2025,Adult,Cardio-Thoracic Surgery,356,47,17,8,428
