ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
27/03/2025,Adult,Cardiology,"23,678","11,281","2,698","1,665","39,322"
27/03/2025,Adult,Chemical Pathology,51,41,0,0,92
27/03/2025,Adult,Clinical (Medical) Genetics,868,667,433,751,"2,719"
27/03/2025,Adult,Clinical Immunology,"1,634","1,167",677,383,"3,861"
27/03/2025,Adult,Clinical Neurophysiology,16,2,2,0,21
27/03/2025,Adult,Dermatology,"27,123","13,919","6,055","5,541","52,638"
27/03/2025,Adult,Diabetes Mellitus,"1,341",511,92,30,"1,975"
27/03/2025,Adult,Endocrinology,"8,600","4,150","1,996","5,447","20,194"
27/03/2025,Adult,Gastro-Enterology,"12,496","4,249","1,252",333,"18,331"
27/03/2025,Adult,Gastro-Intestinal Surgery,238,141,13,0,392
27/03/2025,Adult,General Medicine,"7,095","2,706",774,878,"11,453"
27/03/2025,Adult,General Surgery,"26,765","4,716",780,162,"32,423"
27/03/2025,Adult,Geriatric Medicine,"3,539",520,50,22,"4,131"
27/03/2025,Adult,Gynaecology,"24,023","5,679",888,135,"30,726"
27/03/2025,Adult,Haematology,"6,521","2,686",889,367,"10,463"
27/03/2025,Adult,Hepato-Biliary Surgery,88,40,11,0,139
27/03/2025,Adult,Infectious Diseases,895,292,89,174,"1,450"
27/03/2025,Adult,Maxillo-Facial,"2,347",227,108,106,"2,788"
27/03/2025,Adult,Metabolic Medicine,93,24,2,0,119
27/03/2025,Adult,Nephrology,"2,689",791,192,158,"3,829"
27/03/2025,Adult,Neurology,"11,037","5,492","2,826","2,453","21,808"
27/03/2025,Adult,Neurosurgery,"4,630","3,166","1,500","1,723","11,019"
27/03/2025,Adult,Obstetrics,20,0,0,0,20
27/03/2025,Adult,Oncology,624,15,0,0,639
27/03/2025,Adult,Ophthalmology,"17,849","8,074","4,236","4,965","35,124"
27/03/2025,Adult,Orthopaedics,"37,932","17,281","5,089","2,686","62,988"
27/03/2025,Adult,Otolaryngology (ENT),"20,393","8,386","2,855","2,350","33,985"
27/03/2025,Adult,Paed Cardiology,4,4,14,2,24
27/03/2025,Adult,Paediatric Neurology,4,4,4,29,41
27/03/2025,Adult,Paediatrics,33,41,53,12,139
27/03/2025,Adult,Pain Relief,"6,952","4,258","1,754","1,072","14,037"
27/03/2025,Adult,Pathology,42,49,39,46,176
27/03/2025,Adult,Plastic Surgery,"8,443","2,534",872,"2,126","13,975"
27/03/2025,Adult,Psychiatry,511,105,25,2,643
27/03/2025,Adult,Radiotherapy,24,0,0,0,24
27/03/2025,Adult,Respiratory Medicine,"13,019","6,869","2,876","2,104","24,868"
27/03/2025,Adult,Rheumatology,"7,671","2,738",808,469,"11,686"
27/03/2025,Adult,Small Volume Specialties,421,79,22,1,524
27/03/2025,Adult,Urology,"14,041","5,322","1,552","1,222","22,137"
27/03/2025,Adult,Vascular Surgery,"7,720","3,146",956,732,"12,554"
27/03/2025,Child,Cardio-Thoracic Surgery,31,0,2,0,33
27/03/2025,Child,Cardiology,12,4,12,0,28
27/03/2025,Child,Clinical (Medical) Genetics,36,7,15,0,58
27/03/2025,Child,Clinical Immunology,399,209,140,59,807
27/03/2025,Child,Dental Surgery,168,127,52,72,419
27/03/2025,Child,Dermatology,"1,838",992,495,643,"3,969"
27/03/2025,Child,Developmental Paediatrics,333,188,86,87,694
27/03/2025,Child,General Surgery,705,263,45,3,"1,016"
27/03/2025,Child,Gynaecology,387,123,73,5,587
27/03/2025,Child,Haematology,35,2,2,0,38
27/03/2025,Child,Immunology,224,95,24,30,373
27/03/2025,Child,Maxillo-Facial,295,39,14,5,354
27/03/2025,Child,Ophthalmology,"1,935",626,379,452,"3,391"
27/03/2025,Child,Orthopaedics,"1,357",461,178,369,"2,366"
27/03/2025,Child,Otolaryngology (ENT),"4,349","2,376",997,507,"8,228"
27/03/2025,Child,Paed Cardiology,"2,242","1,067",168,92,"3,569"
27/03/2025,Child,Paed Endocrinology,476,209,43,2,730
27/03/2025,Child,Paed Gastro-Enterol,657,163,64,143,"1,027"
27/03/2025,Child,Paed Haematology,269,67,4,0,340
27/03/2025,Child,Paed Metabolic Medicine,27,2,0,0,29
27/03/2025,Child,Paed Nephrology,270,118,91,80,559
27/03/2025,Child,Paed Orthopaedic,"1,660",719,393,705,"3,477"
27/03/2025,Child,Paediatric Dermatology,"2,603","1,945","1,023",919,"6,490"
27/03/2025,Child,Paediatric ENT,"2,626","1,729",855,852,"6,062"
27/03/2025,Child,Paediatric Infectious Diseases,45,4,2,2,54
27/03/2025,Child,Paediatric Neurology,792,422,372,185,"1,771"
27/03/2025,Child,Paediatric Neurosurgery,71,2,0,0,74
27/03/2025,Child,Paediatric Respiratory Medicine,876,411,201,153,"1,641"
27/03/2025,Child,Paediatric Surgery,"1,193",393,68,0,"1,655"
27/03/2025,Child,Paediatric Urology,"1,230",683,325,22,"2,260"
27/03/2025,Child,Paediatrics,"12,267","4,299","1,761",320,"18,647"
27/03/2025,Child,Pain Relief,44,11,2,2,60
27/03/2025,Child,Plastic Surgery,771,264,61,109,"1,205"
27/03/2025,Child,Rheumatology,288,112,67,182,649
27/03/2025,Child,Small Volume Specialties,520,94,18,11,643
27/03/2025,Child,Urology,"1,021",552,283,166,"2,021"
24/04/2025,Adult,Anaesthetics,52,7,0,0,58
24/04/2025,Adult,Breast Surgery,"2,418",9,0,0,"2,427"
24/04/2025,Adult,Cardio-Thoracic Surgery,339,46,19,10,414
24/04/2025,Adult,Cardiology,"23,464","11,218","2,860","1,715","39,256"
24/04/2025,Adult,Chemical Pathology,45,52,2,0,99
24/04/2025,Adult,Clinical (Medical) Genetics,884,709,432,778,"2,803"
24/04/2025,Adult,Clinical Immunology,"1,588","1,188",720,401,"3,897"
24/04/2025,Adult,Dermatology,"27,335","14,270","6,317","5,791","53,713"
24/04/2025,Adult,Diabetes Mellitus,"1,362",414,103,40,"1,918"
24/04/2025,Adult,Endocrinology,"8,553","4,228","2,026","5,521","20,328"
24/04/2025,Adult,Gastro-Enterology,"12,213","4,477","1,156",390,"18,236"
24/04/2025,Adult,Gastro-Intestinal Surgery,366,120,25,0,511
24/04/2025,Adult,General Medicine,"7,081","2,773",845,896,"11,595"
24/04/2025,Adult,General Surgery,"26,962","4,703",810,184,"32,659"
24/04/2025,Adult,Geriatric Medicine,"3,605",563,58,28,"4,254"
24/04/2025,Adult,Gynaecology,"23,471","5,971",963,85,"30,490"
24/04/2025,Adult,Haematology,"6,588","2,746",896,361,"10,591"
24/04/2025,Adult,Hepato-Biliary Surgery,83,45,6,0,135
24/04/2025,Adult,Infectious Diseases,920,256,65,172,"1,413"
24/04/2025,Adult,Maxillo-Facial,"2,298",282,127,24,"2,730"
24/04/2025,Adult,Metabolic Medicine,90,39,2,0,131
24/04/2025,Adult,Nephrology,"2,574",790,213,151,"3,729"
24/04/2025,Adult,Neurology,"10,943","5,564","2,902","2,374","21,783"
24/04/2025,Adult,Neurosurgery,"4,398","3,250","1,723","1,727","11,098"
24/04/2025,Adult,Obstetrics,23,0,0,0,23
24/04/2025,Adult,Oncology,642,17,0,0,660
24/04/2025,Adult,Ophthalmology,"17,985","8,322","4,239","4,861","35,407"
24/04/2025,Adult,Orthopaedics,"38,062","18,005","5,281","2,855","64,204"
24/04/2025,Adult,Otolaryngology (ENT),"20,700","8,555","2,780","2,488","34,523"
24/04/2025,Adult,Paed Cardiology,4,4,14,6,28
24/04/2025,Adult,Paediatric Neurology,4,4,4,24,37
24/04/2025,Adult,Paediatrics,40,51,54,14,160
24/04/2025,Adult,Pain Relief,"6,884","4,406","1,849","1,061","14,200"
24/04/2025,Adult,Pathology,44,49,39,46,178
24/04/2025,Adult,Plastic Surgery,"7,807","2,545",901,"2,171","13,424"
24/04/2025,Adult,Psychiatry,396,96,29,2,523
24/04/2025,Adult,Radiotherapy,29,0,0,0,29
24/04/2025,Adult,Respiratory Medicine,"12,817","6,766","3,000","2,239","24,821"
24/04/2025,Adult,Rheumatology,"7,958","2,796",868,490,"12,112"
24/04/2025,Adult,Small Volume Specialties,375,89,17,2,484
24/04/2025,Adult,Urology,"13,849","5,681","1,769","1,254","22,552"
24/04/2025,Adult,Vascular Surgery,"7,688","3,102","1,065",746,"12,600"
24/04/2025,Child,Cardio-Thoracic Surgery,19,2,2,0,23
24/04/2025,Child,Clinical (Medical) Genetics,44,2,12,0,58
24/04/2025,Child,Clinical Immunology,398,194,127,56,775
24/04/2025,Child,Dental Surgery,157,110,72,75,414
24/04/2025,Child,Dermatology,"1,881",945,493,654,"3,973"
24/04/2025,Child,Developmental Paediatrics,365,180,57,79,681
24/04/2025,Child,General Surgery,746,246,47,3,"1,043"
24/04/2025,Child,Gynaecology,377,127,73,4,582
24/04/2025,Child,Haematology,33,3,2,0,37
24/04/2025,Child,Immunology,195,101,22,27,345
24/04/2025,Child,Maxillo-Facial,293,52,11,0,356
24/04/2025,Child,Ophthalmology,"1,927",597,339,477,"3,339"
24/04/2025,Child,Orthopaedics,"1,347",503,164,361,"2,375"
24/04/2025,Child,Otolaryngology (ENT),"4,539","2,256","1,001",523,"8,319"
24/04/2025,Child,Paed Cardiology,"2,236",961,137,96,"3,430"
24/04/2025,Child,Paed Endocrinology,481,218,44,5,748
24/04/2025,Child,Paed Gastro-Enterol,628,187,78,132,"1,025"
24/04/2025,Child,Paed Haematology,254,63,2,0,319
24/04/2025,Child,Paed Metabolic Medicine,23,2,0,0,25
24/04/2025,Child,Paed Nephrology,277,127,80,82,566
24/04/2025,Child,Paed Orthopaedic,"1,748",709,380,710,"3,547"
24/04/2025,Child,Paediatric Dermatology,"2,526","1,903","1,059",967,"6,455"
24/04/2025,Child,Paediatric ENT,"2,639","1,612",930,744,"5,925"
24/04/2025,Child,Paediatric Infectious Diseases,33,2,4,2,41
24/04/2025,Child,Paediatric Neurology,705,430,368,190,"1,693"
24/04/2025,Child,Paediatric Neurosurgery,64,0,0,0,64
24/04/2025,Child,Paediatric Respiratory Medicine,891,416,210,113,"1,630"
24/04/2025,Child,Paediatric Surgery,"1,119",374,39,0,"1,532"
24/04/2025,Child,Paediatric Urology,"1,142",709,293,22,"2,166"
24/04/2025,Child,Paediatrics,"12,263","4,143","1,663",376,"18,445"
24/04/2025,Child,Pain Relief,42,9,4,0,55
24/04/2025,Child,Plastic Surgery,750,269,80,115,"1,213"
24/04/2025,Child,Rheumatology,280,123,61,163,627
24/04/2025,Child,Small Volume Specialties,496,117,27,14,655
24/04/2025,Child,Urology,"1,051",573,291,89,"2,003"
29/05/2025,Adult,Anaesthetics,43,5,0,0,48
29/05/2025,Adult,Breast Surgery,"2,680",13,0,0,"2,693"
29/05/2025,Adult,Cardio-Thoracic Surgery,341,48,20,10,420
29/05/2025,Adult,Cardiology,"23,117","10,664","2,975","1,810","38,566"
29/05/2025,Adult,Chemical Pathology,46,45,2,0,94
29/05/2025,Adult,Clinical (Medical) Genetics,841,759,398,797,"2,795"
29/05/2025,Adult,Clinical Immunology,"1,569","1,095",737,369,"3,770"
29/05/2025,Adult,Dermatology,"28,176","13,817","6,716","5,885","54,594"
29/05/2025,Adult,Diabetes Mellitus,"1,235",328,115,26,"1,705"
29/05/2025,Adult,Endocrinology,"8,957","3,892","2,145","5,608","20,602"
29/05/2025,Adult,Gastro-Enterology,"12,410","4,431","1,219",432,"18,492"
29/05/2025,Adult,Gastro-Intestinal Surgery,459,106,24,0,589
29/05/2025,Adult,General Medicine,"7,055","2,736",790,875,"11,455"
29/05/2025,Adult,General Surgery,"26,899","4,318",863,190,"32,270"
29/05/2025,Adult,Geriatric Medicine,"3,591",569,86,28,"4,274"
29/05/2025,Adult,Gynaecology,"24,205","5,854",920,38,"31,017"
29/05/2025,Adult,Haematology,"6,749","2,632",939,394,"10,714"
29/05/2025,Adult,Hepato-Biliary Surgery,101,44,10,0,155
29/05/2025,Adult,Infectious Diseases,929,224,45,160,"1,358"
29/05/2025,Adult,Maxillo-Facial,"2,445",331,116,13,"2,906"
29/05/2025,Adult,Metabolic Medicine,88,46,2,0,136
29/05/2025,Adult,Nephrology,"2,652",801,201,150,"3,804"
29/05/2025,Adult,Neurology,"10,989","5,187","2,904","2,313","21,393"
29/05/2025,Adult,Neurosurgery,"4,450","2,906","1,764","1,280","10,400"
29/05/2025,Adult,Obstetrics,56,0,0,0,56
29/05/2025,Adult,Oncology,563,20,2,0,585
29/05/2025,Adult,Ophthalmology,"19,022","8,658","4,405","4,725","36,811"
29/05/2025,Adult,Orthopaedics,"38,015","17,641","5,385","2,856","63,897"
29/05/2025,Adult,Otolaryngology (ENT),"20,836","8,722","2,810","2,495","34,863"
29/05/2025,Adult,Paed Cardiology,4,4,13,7,28
29/05/2025,Adult,Paediatric Neurology,9,4,7,14,34
29/05/2025,Adult,Paediatrics,42,54,47,18,161
29/05/2025,Adult,Pain Relief,"6,754","4,386","1,977","1,147","14,264"
29/05/2025,Adult,Pathology,58,48,36,56,198
29/05/2025,Adult,Plastic Surgery,"8,033","2,293",949,"2,065","13,339"
29/05/2025,Adult,Psychiatry,366,90,37,2,495
29/05/2025,Adult,Radiotherapy,45,0,0,0,45
29/05/2025,Adult,Respiratory Medicine,"13,300","6,553","3,170","2,109","25,132"
29/05/2025,Adult,Rheumatology,"8,263","2,783","1,063",496,"12,605"
29/05/2025,Adult,Small Volume Specialties,477,77,21,6,581
29/05/2025,Adult,Urology,"14,074","5,645","1,653","1,341","22,713"
29/05/2025,Adult,Vascular Surgery,"8,012","2,932","1,037",704,"12,685"
29/05/2025,Child,Cardio-Thoracic Surgery,23,0,2,0,25
29/05/2025,Child,Clinical (Medical) Genetics,50,11,21,2,84
29/05/2025,Child,Clinical Immunology,432,190,140,61,823
29/05/2025,Child,Dental Surgery,139,101,70,86,396
29/05/2025,Child,Dermatology,"1,892",904,549,689,"4,034"
29/05/2025,Child,Developmental Paediatrics,369,161,42,63,635
29/05/2025,Child,General Surgery,777,235,51,4,"1,066"
29/05/2025,Child,Gynaecology,441,119,83,12,655
29/05/2025,Child,Haematology,24,2,2,0,27
29/05/2025,Child,Immunology,178,117,37,24,356
29/05/2025,Child,Maxillo-Facial,273,69,7,0,349
29/05/2025,Child,Ophthalmology,"1,972",626,300,449,"3,348"
29/05/2025,Child,Orthopaedics,"1,312",520,167,383,"2,381"
29/05/2025,Child,Otolaryngology (ENT),"4,768","2,127","1,048",505,"8,448"
29/05/2025,Child,Paed Cardiology,"2,227",820,129,87,"3,263"
29/05/2025,Child,Paed Endocrinology,477,200,53,2,732
29/05/2025,Child,Paed Gastro-Enterol,641,196,82,129,"1,048"
29/05/2025,Child,Paed Haematology,250,69,2,0,321
29/05/2025,Child,Paed Nephrology,260,124,69,96,549
29/05/2025,Child,Paed Orthopaedic,"1,756",725,382,657,"3,520"
29/05/2025,Child,Paediatric Dermatology,"2,653","1,806","1,135",986,"6,580"
29/05/2025,Child,Paediatric ENT,"2,709","1,381",996,695,"5,782"
29/05/2025,Child,Paediatric Infectious Diseases,32,0,4,2,38
29/05/2025,Child,Paediatric Neurology,804,405,380,181,"1,770"
29/05/2025,Child,Paediatric Neurosurgery,62,2,0,0,64
29/05/2025,Child,Paediatric Respiratory Medicine,880,427,181,92,"1,580"
29/05/2025,Child,Paediatric Surgery,"1,281",343,35,2,"1,661"
29/05/2025,Child,Paediatric Urology,969,590,170,10,"1,739"
29/05/2025,Child,Paediatrics,"12,418","3,900","1,563",420,"18,301"
29/05/2025,Child,Pain Relief,49,12,2,0,63
29/05/2025,Child,Plastic Surgery,779,258,97,116,"1,250"
29/05/2025,Child,Rheumatology,282,126,64,153,625
29/05/2025,Child,Small Volume Specialties,511,105,25,22,663
29/05/2025,Child,Urology,"1,026",596,282,96,"2,000"
26/06/2025,Adult,Anaesthetics,61,5,2,0,68
26/06/2025,Adult,Breast Surgery,"2,986",11,2,0,"2,999"
26/06/2025,Adult,Cardio-Thoracic Surgery,335,54,19,12,420
26/06/2025,Adult,Cardiology,"23,655","10,720","3,188","1,761","39,323"
26/06/2025,Adult,Chemical Pathology,44,51,0,0,95
26/06/2025,Adult,Clinical (Medical) Genetics,887,753,413,810,"2,863"
26/06/2025,Adult,Clinical Immunology,"1,639","1,155",761,325,"3,880"
26/06/2025,Adult,Dermatology,"29,465","13,451","7,175","6,013","56,104"
26/06/2025,Adult,Diabetes Mellitus,"1,365",294,111,20,"1,790"
26/06/2025,Adult,Endocrinology,"9,419","3,851","2,268","5,712","21,250"
26/06/2025,Adult,Gastro-Enterology,"12,761","4,609","1,159",387,"18,916"
26/06/2025,Adult,Gastro-Intestinal Surgery,564,105,25,0,694
26/06/2025,Adult,General Medicine,"7,174","2,821",856,861,"11,711"
26/06/2025,Adult,General Surgery,"27,571","4,185",970,216,"32,941"
26/06/2025,Adult,Geriatric Medicine,"3,791",507,116,24,"4,439"
26/06/2025,Adult,Gynaecology,"24,962","5,790",881,43,"31,675"
