ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
26/01/2023,Adult,Anaesthetics,14,4,2,0,21
26/01/2023,Adult,Breast Surgery,"2,198",8,0,0,"2,206"
26/01/2023,Adult,Cardio-Thoracic Surgery,326,50,10,19,405
26/01/2023,Adult,Cardiology,"17,660","9,041","3,670","2,300","32,671"
26/01/2023,Adult,Chemical Pathology,46,47,29,2,124
26/01/2023,Adult,Clinical (Medical) Genetics,990,811,617,438,"2,856"
26/01/2023,Adult,Clinical Immunology,"1,140",666,48,5,"1,859"
26/01/2023,Adult,Clinical Neurophysiology,786,569,381,343,"2,079"
26/01/2023,Adult,Dermatology,"21,568","8,422","3,069","6,947","40,006"
26/01/2023,Adult,Diabetes Mellitus,"1,017",461,213,200,"1,891"
26/01/2023,Adult,Endocrinology,"7,472","4,646","2,225","4,157","18,500"
26/01/2023,Adult,Gastro-Enterology,"9,365","3,375","1,236","1,387","15,363"
26/01/2023,Adult,Gastro-Intestinal Surgery,476,180,24,18,698
26/01/2023,Adult,General Medicine,"10,222","5,331","2,250","2,334","20,137"
26/01/2023,Adult,General Surgery,"24,875","5,984","2,796","2,285","35,940"
26/01/2023,Adult,Geriatric Medicine,"3,142",339,89,106,"3,676"
26/01/2023,Adult,Gynaecology,"19,615","5,619","1,218","1,659","28,111"
26/01/2023,Adult,Haematology,"5,160","2,053",744,"1,193","9,150"
26/01/2023,Adult,Hepato-Biliary Surgery,70,32,8,0,110
26/01/2023,Adult,Infectious Diseases,"1,276",60,4,0,"1,340"
26/01/2023,Adult,Maxillo-Facial,"1,198",449,323,996,"2,966"
26/01/2023,Adult,Metabolic Medicine,135,25,11,14,185
26/01/2023,Adult,Microbiology,25,0,0,0,25
26/01/2023,Adult,Nephrology,"2,226",588,248,384,"3,446"
26/01/2023,Adult,Neurology,"9,411","4,913","2,892","6,148","23,364"
26/01/2023,Adult,Neurosurgery,"3,530","1,941","1,064","2,129","8,664"
26/01/2023,Adult,Oncology,578,10,0,0,588
26/01/2023,Adult,Ophthalmology,"15,127","6,538","3,607","7,974","33,246"
26/01/2023,Adult,Oral Surgery,517,281,238,"1,188","2,224"
26/01/2023,Adult,Orthopaedics,"31,631","18,467","7,348","7,691","65,137"
26/01/2023,Adult,Otolaryngology (ENT),"17,771","9,460","4,664","10,841","42,736"
26/01/2023,Adult,Paediatric Dermatology,36,7,0,0,43
