ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
27/01/2022,Adult,Bantry General Hospital,45,19,4,4,72
27/01/2022,Adult,Beaumont Hospital,"4,020","1,030",43,23,"5,116"
27/01/2022,Adult,Cavan General Hospital,365,15,20,104,505
27/01/2022,Adult,Connolly Hospital Blanchardstown,839,106,6,0,951
27/01/2022,Adult,Coombe Women and Infants University Hospital,179,48,24,2,253
27/01/2022,Adult,Cork University Hospital,649,218,148,210,"1,226"
27/01/2022,Adult,Cork University Maternity Hospital,240,88,66,66,460
27/01/2022,Adult,Croom Orthopaedic Hospital,525,176,71,38,810
27/01/2022,Adult,Ennis Hospital,141,37,4,0,183
27/01/2022,Adult,Galway University Hospitals,"4,248","1,578","1,013","2,011","8,850"
27/01/2022,Adult,Kilcreene Regional Orthopaedic Hospital,317,11,0,0,328
27/01/2022,Adult,Letterkenny University Hospital,"1,239",358,387,624,"2,608"
27/01/2022,Adult,Louth County Hospital,422,41,12,2,478
27/01/2022,Adult,Mallow General Hospital,117,23,15,12,167
27/01/2022,Adult,Mater Misericordiae University Hospital,"3,459",900,363,959,"5,681"
27/01/2022,Adult,Mayo University Hospital,673,185,115,349,"1,323"
27/01/2022,Adult,Mercy University Hospital,793,230,113,203,"1,339"
27/01/2022,Adult,Midland Regional Hospital Mullingar,562,287,125,65,"1,040"
27/01/2022,Adult,Midland Regional Hospital Portlaoise,270,120,91,89,571
27/01/2022,Adult,Midland Regional Hospital Tullamore,756,236,84,191,"1,268"
27/01/2022,Adult,Naas General Hospital,166,31,13,16,227
27/01/2022,Adult,National Orthopaedic Hospital Cappagh,"1,281",195,23,20,"1,519"
27/01/2022,Adult,Nenagh Hospital,272,48,43,172,535
27/01/2022,Adult,Our Lady of Lourdes Hospital Drogheda,663,198,40,4,906
27/01/2022,Adult,Our Lady's Hospital Navan,783,184,59,47,"1,074"
27/01/2022,Adult,Portiuncula University Hospital,389,95,29,9,523
27/01/2022,Adult,Roscommon University Hospital,414,172,65,102,753
27/01/2022,Adult,Royal Victoria Eye and Ear Hospital,"1,525",195,88,64,"1,872"
27/01/2022,Adult,Sligo University Hospital,"1,712",516,322,268,"2,819"
27/01/2022,Adult,South Infirmary Victoria University Hospital,"1,717",424,212,85,"2,437"
27/01/2022,Adult,St. Columcille's Hospital,552,170,34,22,779
27/01/2022,Adult,St. James's Hospital,"2,685","1,091",564,"1,357","5,697"
27/01/2022,Adult,St. John's Hospital Limerick,649,216,208,255,"1,328"
27/01/2022,Adult,St. Luke's General Hospital Kilkenny,351,191,59,65,667
27/01/2022,Adult,St. Michael's Hospital,599,146,44,39,829
27/01/2022,Adult,St. Vincent's University Hospital,"2,047",596,326,337,"3,306"
27/01/2022,Adult,Tallaght University Hospital,"2,020",578,193,342,"3,132"
27/01/2022,Adult,Tipperary University Hospital,170,46,2,0,219
27/01/2022,Adult,University Hospital Kerry,329,165,81,76,652
27/01/2022,Adult,University Hospital Limerick,"1,167",342,167,223,"1,900"
27/01/2022,Adult,University Hospital Waterford,"2,458",580,353,977,"4,368"
27/01/2022,Adult,Wexford General Hospital,687,211,73,31,"1,003"
27/01/2022,Child,Beaumont Hospital,15,15,2,0,32
27/01/2022,Child,Cavan General Hospital,74,14,34,91,213
27/01/2022,Child,Children's Health Ireland,"2,653","1,306",734,"1,138","5,830"
27/01/2022,Child,Cork University Hospital,39,16,13,15,83
27/01/2022,Child,Galway University Hospitals,190,70,42,71,373
27/01/2022,Child,Letterkenny University Hospital,30,9,14,23,77
27/01/2022,Child,Mayo University Hospital,9,6,2,6,22
27/01/2022,Child,Mercy University Hospital,86,15,9,4,114
27/01/2022,Child,Midland Regional Hospital Mullingar,41,13,0,0,53
27/01/2022,Child,Midland Regional Hospital Tullamore,156,6,0,0,161
27/01/2022,Child,National Orthopaedic Hospital Cappagh,178,41,15,19,253
27/01/2022,Child,Nenagh Hospital,25,6,0,0,30
27/01/2022,Child,Our Lady of Lourdes Hospital Drogheda,77,7,4,2,90
27/01/2022,Child,Portiuncula University Hospital,28,6,4,2,40
27/01/2022,Child,Royal Victoria Eye and Ear Hospital,48,6,4,9,66
27/01/2022,Child,Sligo University Hospital,77,23,13,13,126
27/01/2022,Child,Small Volume Hospitals,37,2,6,4,48
27/01/2022,Child,South Infirmary Victoria University Hospital,93,15,2,5,115
27/01/2022,Child,University Hospital Kerry,23,7,4,2,36
27/01/2022,Child,University Hospital Limerick,87,35,15,30,166
27/01/2022,Child,University Hospital Waterford,89,9,2,14,114
24/02/2022,Adult,Bantry General Hospital,60,21,2,4,87
24/02/2022,Adult,Beaumont Hospital,"4,126","1,156",76,61,"5,419"
24/02/2022,Adult,Cavan General Hospital,341,5,0,0,346
24/02/2022,Adult,Connolly Hospital Blanchardstown,982,124,2,2,"1,110"
24/02/2022,Adult,Coombe Women and Infants University Hospital,173,66,22,2,263
24/02/2022,Adult,Cork University Hospital,784,211,145,218,"1,358"
24/02/2022,Adult,Cork University Maternity Hospital,230,63,51,56,400
24/02/2022,Adult,Croom Orthopaedic Hospital,426,156,53,28,663
24/02/2022,Adult,Ennis Hospital,177,40,10,6,234
24/02/2022,Adult,Galway University Hospitals,"4,327","1,679",988,"2,031","9,025"
24/02/2022,Adult,Kilcreene Regional Orthopaedic Hospital,381,18,4,2,405
24/02/2022,Adult,Letterkenny University Hospital,"1,272",406,329,658,"2,666"
24/02/2022,Adult,Louth County Hospital,433,47,10,2,493
24/02/2022,Adult,Mallow General Hospital,150,25,15,15,206
24/02/2022,Adult,Mater Misericordiae University Hospital,"3,670",944,371,971,"5,956"
24/02/2022,Adult,Mayo University Hospital,713,190,109,316,"1,329"
24/02/2022,Adult,Mercy University Hospital,778,215,106,228,"1,327"
24/02/2022,Adult,Midland Regional Hospital Mullingar,528,319,104,62,"1,014"
24/02/2022,Adult,Midland Regional Hospital Portlaoise,175,110,69,93,447
24/02/2022,Adult,Midland Regional Hospital Tullamore,686,228,71,167,"1,153"
24/02/2022,Adult,Naas General Hospital,167,24,11,11,213
24/02/2022,Adult,National Orthopaedic Hospital Cappagh,"1,362",156,22,20,"1,560"
24/02/2022,Adult,Nenagh Hospital,266,53,41,100,460
24/02/2022,Adult,Our Lady of Lourdes Hospital Drogheda,651,216,54,9,931
24/02/2022,Adult,Our Lady's Hospital Navan,808,231,47,38,"1,124"
24/02/2022,Adult,Portiuncula University Hospital,432,115,30,37,614
24/02/2022,Adult,Roscommon University Hospital,401,152,71,112,736
24/02/2022,Adult,Royal Victoria Eye and Ear Hospital,"1,242",167,75,53,"1,537"
24/02/2022,Adult,Sligo University Hospital,"1,723",595,315,293,"2,927"
24/02/2022,Adult,South Infirmary Victoria University Hospital,"1,725",390,224,87,"2,426"
24/02/2022,Adult,St. Columcille's Hospital,551,177,33,23,785
24/02/2022,Adult,St. James's Hospital,"2,701","1,023",558,"1,359","5,641"
24/02/2022,Adult,St. John's Hospital Limerick,602,220,194,254,"1,271"
24/02/2022,Adult,St. Luke's General Hospital Kilkenny,333,180,48,46,608
24/02/2022,Adult,St. Michael's Hospital,585,158,49,35,828
24/02/2022,Adult,St. Vincent's University Hospital,"2,138",593,339,344,"3,415"
24/02/2022,Adult,Tallaght University Hospital,"2,206",539,177,354,"3,275"
24/02/2022,Adult,Tipperary University Hospital,107,18,2,0,127
24/02/2022,Adult,University Hospital Kerry,305,152,86,89,633
24/02/2022,Adult,University Hospital Limerick,"1,260",341,175,199,"1,976"
24/02/2022,Adult,University Hospital Waterford,"2,601",617,311,980,"4,509"
24/02/2022,Adult,Wexford General Hospital,601,235,55,25,916
24/02/2022,Child,Beaumont Hospital,12,12,2,0,26
24/02/2022,Child,Cavan General Hospital,19,2,0,0,21
24/02/2022,Child,Children's Health Ireland,"2,713","1,306",766,"1,143","5,927"
24/02/2022,Child,Cork University Hospital,78,15,11,15,119
24/02/2022,Child,Galway University Hospitals,211,78,44,73,406
24/02/2022,Child,Letterkenny University Hospital,37,7,7,26,77
24/02/2022,Child,Mercy University Hospital,93,25,9,4,130
24/02/2022,Child,Midland Regional Hospital Mullingar,25,15,0,0,40
24/02/2022,Child,Midland Regional Hospital Tullamore,138,4,0,0,142
24/02/2022,Child,National Orthopaedic Hospital Cappagh,186,46,14,22,268
24/02/2022,Child,Our Lady of Lourdes Hospital Drogheda,78,16,7,2,103
24/02/2022,Child,Portiuncula University Hospital,33,5,2,0,40
24/02/2022,Child,Royal Victoria Eye and Ear Hospital,40,5,5,7,58
24/02/2022,Child,Sligo University Hospital,101,25,9,15,150
24/02/2022,Child,Small Volume Hospitals,59,6,2,4,70
24/02/2022,Child,South Infirmary Victoria University Hospital,76,18,2,2,97
24/02/2022,Child,University Hospital Kerry,16,9,2,2,29
24/02/2022,Child,University Hospital Limerick,88,31,13,17,150
24/02/2022,Child,University Hospital Waterford,77,9,2,12,101
31/03/2022,Adult,Bantry General Hospital,89,25,2,6,122
31/03/2022,Adult,Beaumont Hospital,"4,213","1,374",176,85,"5,848"
31/03/2022,Adult,Cavan General Hospital,360,31,0,0,391
31/03/2022,Adult,Connolly Hospital Blanchardstown,991,146,0,0,"1,137"
31/03/2022,Adult,Coombe Women and Infants University Hospital,138,78,14,2,232
31/03/2022,Adult,Cork University Hospital,780,233,152,241,"1,406"
31/03/2022,Adult,Cork University Maternity Hospital,256,73,40,60,429
31/03/2022,Adult,Croom Orthopaedic Hospital,391,160,45,43,639
31/03/2022,Adult,Ennis Hospital,198,51,10,4,263
31/03/2022,Adult,Galway University Hospitals,"4,336","1,815",951,"2,085","9,187"
31/03/2022,Adult,Kilcreene Regional Orthopaedic Hospital,419,18,4,2,443
31/03/2022,Adult,Letterkenny University Hospital,"1,278",467,277,711,"2,733"
31/03/2022,Adult,Louth County Hospital,382,42,17,2,443
31/03/2022,Adult,Mallow General Hospital,137,26,15,18,196
31/03/2022,Adult,Mater Misericordiae University Hospital,"3,777","1,027",364,864,"6,032"
31/03/2022,Adult,Mayo University Hospital,808,217,104,319,"1,448"
31/03/2022,Adult,Mercy University Hospital,688,215,120,193,"1,216"
31/03/2022,Adult,Midland Regional Hospital Mullingar,567,285,110,56,"1,018"
31/03/2022,Adult,Midland Regional Hospital Portlaoise,167,102,48,75,392
31/03/2022,Adult,Midland Regional Hospital Tullamore,820,223,99,171,"1,313"
31/03/2022,Adult,Naas General Hospital,205,28,17,12,262
31/03/2022,Adult,National Orthopaedic Hospital Cappagh,"1,326",192,27,19,"1,564"
31/03/2022,Adult,Nenagh Hospital,310,46,41,91,488
31/03/2022,Adult,Our Lady of Lourdes Hospital Drogheda,563,235,53,14,865
31/03/2022,Adult,Our Lady's Hospital Navan,674,181,57,31,943
31/03/2022,Adult,Portiuncula University Hospital,456,112,20,35,623
31/03/2022,Adult,Roscommon University Hospital,458,161,89,121,829
31/03/2022,Adult,Royal Victoria Eye and Ear Hospital,"1,509",188,54,41,"1,792"
31/03/2022,Adult,Sligo University Hospital,"1,871",648,321,338,"3,178"
31/03/2022,Adult,South Infirmary Victoria University Hospital,"1,904",441,227,113,"2,685"
31/03/2022,Adult,St. Columcille's Hospital,603,152,45,22,822
31/03/2022,Adult,St. James's Hospital,"2,801","1,138",571,"1,459","5,969"
31/03/2022,Adult,St. John's Hospital Limerick,602,223,171,244,"1,240"
31/03/2022,Adult,St. Luke's General Hospital Kilkenny,360,163,47,52,622
31/03/2022,Adult,St. Michael's Hospital,632,165,54,36,887
31/03/2022,Adult,St. Vincent's University Hospital,"2,315",552,316,353,"3,536"
31/03/2022,Adult,Tallaght University Hospital,"2,123",448,138,284,"2,993"
31/03/2022,Adult,Tipperary University Hospital,116,10,0,0,126
31/03/2022,Adult,University Hospital Kerry,298,160,87,77,622
31/03/2022,Adult,University Hospital Limerick,"1,259",410,184,181,"2,034"
31/03/2022,Adult,University Hospital Waterford,"2,632",614,317,957,"4,520"
31/03/2022,Adult,Wexford General Hospital,595,282,59,33,969
31/03/2022,Child,Beaumont Hospital,10,11,2,0,23
31/03/2022,Child,Cavan General Hospital,25,2,0,0,27
31/03/2022,Child,Children's Health Ireland,"2,506","1,365",806,"1,144","5,820"
31/03/2022,Child,Cork University Hospital,77,27,10,16,130
31/03/2022,Child,Galway University Hospitals,214,79,46,71,411
31/03/2022,Child,Letterkenny University Hospital,34,20,8,26,88
31/03/2022,Child,Mercy University Hospital,84,19,8,4,115
31/03/2022,Child,Midland Regional Hospital Mullingar,20,14,4,0,38
31/03/2022,Child,Midland Regional Hospital Tullamore,132,8,0,0,140
31/03/2022,Child,National Orthopaedic Hospital Cappagh,238,46,15,22,321
31/03/2022,Child,Nenagh Hospital,18,2,2,2,24
31/03/2022,Child,Our Lady of Lourdes Hospital Drogheda,65,22,8,2,97
31/03/2022,Child,Portiuncula University Hospital,44,5,2,0,51
31/03/2022,Child,Royal Victoria Eye and Ear Hospital,50,6,4,6,66
31/03/2022,Child,Sligo University Hospital,134,21,12,17,184
31/03/2022,Child,Small Volume Hospitals,60,6,2,4,72
31/03/2022,Child,South Infirmary Victoria University Hospital,100,21,4,4,129
31/03/2022,Child,University Hospital Kerry,23,6,0,2,31
31/03/2022,Child,University Hospital Limerick,75,33,12,20,140
31/03/2022,Child,University Hospital Waterford,76,14,4,12,106
28/04/2022,Adult,Bantry General Hospital,116,30,4,6,156
28/04/2022,Adult,Beaumont Hospital,"3,982","1,418",237,105,"5,742"
28/04/2022,Adult,Cavan General Hospital,360,45,0,0,405
28/04/2022,Adult,Connolly Hospital Blanchardstown,"1,030",207,2,0,"1,239"
28/04/2022,Adult,Coombe Women and Infants University Hospital,150,78,22,0,250
28/04/2022,Adult,Cork University Hospital,799,255,142,249,"1,445"
28/04/2022,Adult,Cork University Maternity Hospital,274,67,58,57,456
28/04/2022,Adult,Croom Orthopaedic Hospital,338,118,73,68,597
28/04/2022,Adult,Ennis Hospital,194,38,0,2,234
28/04/2022,Adult,Galway University Hospitals,"4,266","1,909",861,"2,082","9,118"
28/04/2022,Adult,Kilcreene Regional Orthopaedic Hospital,433,15,0,0,448
28/04/2022,Adult,Letterkenny University Hospital,"1,302",412,235,729,"2,678"
28/04/2022,Adult,Louth County Hospital,403,45,17,4,469
28/04/2022,Adult,Mallow General Hospital,123,21,12,20,176
28/04/2022,Adult,Mater Misericordiae University Hospital,"3,679","1,250",391,794,"6,114"
28/04/2022,Adult,Mayo University Hospital,783,221,104,316,"1,424"
28/04/2022,Adult,Mercy University Hospital,646,238,126,183,"1,193"
28/04/2022,Adult,Midland Regional Hospital Mullingar,472,325,99,47,943
28/04/2022,Adult,Midland Regional Hospital Portlaoise,220,106,48,75,449
28/04/2022,Adult,Midland Regional Hospital Tullamore,778,247,130,184,"1,339"
28/04/2022,Adult,Naas General Hospital,203,22,13,12,250
28/04/2022,Adult,National Orthopaedic Hospital Cappagh,"1,353",213,37,23,"1,626"
28/04/2022,Adult,Nenagh Hospital,240,66,22,41,369
28/04/2022,Adult,Our Lady of Lourdes Hospital Drogheda,529,233,57,10,829
28/04/2022,Adult,Our Lady's Hospital Navan,639,172,49,57,917
28/04/2022,Adult,Portiuncula University Hospital,391,100,14,21,526
28/04/2022,Adult,Roscommon University Hospital,440,141,81,110,772
28/04/2022,Adult,Royal Victoria Eye and Ear Hospital,"1,462",162,45,47,"1,716"
28/04/2022,Adult,Sligo University Hospital,"1,917",652,350,357,"3,276"
28/04/2022,Adult,South Infirmary Victoria University Hospital,"1,918",516,218,127,"2,779"
28/04/2022,Adult,St. Columcille's Hospital,611,138,43,26,818
28/04/2022,Adult,St. James's Hospital,"2,549","1,109",545,"1,389","5,592"
28/04/2022,Adult,St. John's Hospital Limerick,599,243,150,233,"1,225"
28/04/2022,Adult,St. Luke's General Hospital Kilkenny,363,160,51,54,628
28/04/2022,Adult,St. Michael's Hospital,635,153,39,27,854
28/04/2022,Adult,St. Vincent's University Hospital,"2,284",592,311,359,"3,546"
28/04/2022,Adult,Tallaght University Hospital,"2,207",478,131,284,"3,100"
28/04/2022,Adult,Tipperary University Hospital,111,12,0,0,123
28/04/2022,Adult,University Hospital Kerry,240,131,74,75,520
28/04/2022,Adult,University Hospital Limerick,"1,172",460,173,181,"1,986"
28/04/2022,Adult,University Hospital Waterford,"2,669",668,310,962,"4,609"
28/04/2022,Adult,Wexford General Hospital,612,310,59,38,"1,019"
28/04/2022,Child,Beaumont Hospital,10,10,6,0,25
28/04/2022,Child,Cavan General Hospital,19,2,0,0,21
28/04/2022,Child,Children's Health Ireland,"2,413","1,418",861,"1,164","5,856"
28/04/2022,Child,Cork University Hospital,73,24,8,18,122
28/04/2022,Child,Galway University Hospitals,198,81,34,74,387
28/04/2022,Child,Letterkenny University Hospital,35,17,8,26,85
28/04/2022,Child,Mercy University Hospital,69,30,18,2,118
28/04/2022,Child,Midland Regional Hospital Mullingar,18,13,4,0,34
28/04/2022,Child,Midland Regional Hospital Tullamore,123,6,0,0,129
28/04/2022,Child,National Orthopaedic Hospital Cappagh,258,42,12,18,330
28/04/2022,Child,Nenagh Hospital,20,4,2,0,25
28/04/2022,Child,Our Lady of Lourdes Hospital Drogheda,55,24,8,4,91
28/04/2022,Child,Portiuncula University Hospital,32,4,0,0,36
28/04/2022,Child,Royal Victoria Eye and Ear Hospital,60,11,2,4,76
28/04/2022,Child,Sligo University Hospital,148,15,6,19,187
28/04/2022,Child,Small Volume Hospitals,62,6,2,4,72
28/04/2022,Child,South Infirmary Victoria University Hospital,95,24,4,6,129
28/04/2022,Child,University Hospital Kerry,25,10,0,2,37
28/04/2022,Child,University Hospital Limerick,67,34,10,14,124
28/04/2022,Child,University Hospital Waterford,77,10,8,11,105
26/05/2022,Adult,Bantry General Hospital,100,33,4,4,141
26/05/2022,Adult,Beaumont Hospital,"3,847","1,521",343,93,"5,804"
26/05/2022,Adult,Cavan General Hospital,355,28,0,0,384
26/05/2022,Adult,Connolly Hospital Blanchardstown,"1,109",249,10,0,"1,368"
26/05/2022,Adult,Coombe Women and Infants University Hospital,171,64,30,2,267
26/05/2022,Adult,Cork University Hospital,859,260,118,245,"1,481"
26/05/2022,Adult,Cork University Maternity Hospital,319,72,54,55,500
26/05/2022,Adult,Croom Orthopaedic Hospital,326,256,51,53,686
26/05/2022,Adult,Ennis Hospital,224,31,2,4,262
26/05/2022,Adult,Galway University Hospitals,"4,502","1,953",796,"2,075","9,326"
26/05/2022,Adult,Kilcreene Regional Orthopaedic Hospital,419,24,0,0,443
26/05/2022,Adult,Letterkenny University Hospital,"1,200",414,174,714,"2,502"
26/05/2022,Adult,Louth County Hospital,427,55,18,4,504
26/05/2022,Adult,Mallow General Hospital,93,22,10,23,148
26/05/2022,Adult,Mater Misericordiae University Hospital,"3,697","1,320",432,794,"6,242"
26/05/2022,Adult,Mayo University Hospital,766,232,85,303,"1,387"
26/05/2022,Adult,Mercy University Hospital,518,222,111,154,"1,005"
26/05/2022,Adult,Midland Regional Hospital Mullingar,470,344,98,41,953
26/05/2022,Adult,Midland Regional Hospital Portlaoise,190,74,39,53,357
26/05/2022,Adult,Midland Regional Hospital Tullamore,648,173,122,139,"1,083"
26/05/2022,Adult,Naas General Hospital,162,20,4,8,194
26/05/2022,Adult,National Orthopaedic Hospital Cappagh,"1,408",242,32,26,"1,708"
26/05/2022,Adult,Nenagh Hospital,250,74,30,9,364
26/05/2022,Adult,Our Lady of Lourdes Hospital Drogheda,510,254,64,18,847
26/05/2022,Adult,Our Lady's Hospital Navan,686,164,41,50,942
26/05/2022,Adult,Portiuncula University Hospital,410,134,21,24,590
26/05/2022,Adult,Roscommon University Hospital,457,171,81,92,801
26/05/2022,Adult,Royal Victoria Eye and Ear Hospital,"1,646",167,34,44,"1,891"
26/05/2022,Adult,Sligo University Hospital,"1,815",691,327,377,"3,211"
26/05/2022,Adult,South Infirmary Victoria University Hospital,"1,988",554,208,143,"2,893"
26/05/2022,Adult,St. Columcille's Hospital,546,118,45,28,738
26/05/2022,Adult,St. James's Hospital,"2,528","1,165",561,"1,435","5,689"
26/05/2022,Adult,St. John's Hospital Limerick,584,229,32,27,871
26/05/2022,Adult,St. Luke's General Hospital Kilkenny,376,149,52,48,626
26/05/2022,Adult,St. Michael's Hospital,664,158,31,22,876
