ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
30/01/2025,Adult,Bantry General Hospital,210,28,16,25,279
30/01/2025,Adult,Beaumont Hospital,"5,109","2,875",767,486,"9,236"
30/01/2025,Adult,Cavan General Hospital,368,19,11,2,401
30/01/2025,Adult,Connolly Hospital Blanchardstown,"1,395",91,0,0,"1,486"
30/01/2025,Adult,Coombe Women and Infants University Hospital,133,29,5,2,170
30/01/2025,Adult,Cork University Hospital,"1,019",372,155,133,"1,680"
30/01/2025,Adult,Cork University Maternity Hospital,539,95,10,1,645
30/01/2025,Adult,Croom Orthopaedic Hospital,603,4,0,0,607
30/01/2025,Adult,Ennis Hospital,465,112,9,0,586
30/01/2025,Adult,Galway University Hospitals,"6,151","2,573",987,"1,287","10,999"
30/01/2025,Adult,Kilcreene Regional Orthopaedic Hospital,602,145,2,0,749
30/01/2025,Adult,Letterkenny University Hospital,"1,475",170,65,71,"1,781"
30/01/2025,Adult,Louth County Hospital,696,28,0,0,724
30/01/2025,Adult,Mallow General Hospital,278,123,51,26,477
30/01/2025,Adult,Mater Misericordiae University Hospital,"4,680","1,270",428,858,"7,236"
30/01/2025,Adult,Mayo University Hospital,793,106,24,6,929
30/01/2025,Adult,Mercy University Hospital,704,94,19,4,821
30/01/2025,Adult,Midland Regional Hospital Mullingar,589,109,58,2,757
30/01/2025,Adult,Midland Regional Hospital Portlaoise,327,43,36,20,426
30/01/2025,Adult,Midland Regional Hospital Tullamore,"1,240",359,13,0,"1,613"
30/01/2025,Adult,Naas General Hospital,238,53,4,0,295
30/01/2025,Adult,National Orthopaedic Hospital Cappagh,"1,637",366,23,2,"2,029"
30/01/2025,Adult,Nenagh Hospital,897,463,18,0,"1,378"
30/01/2025,Adult,Our Lady of Lourdes Hospital Drogheda,640,246,90,2,978
30/01/2025,Adult,Our Lady's Hospital Navan,885,102,2,2,991
30/01/2025,Adult,Portiuncula University Hospital,484,118,58,8,668
30/01/2025,Adult,Roscommon University Hospital,389,141,98,56,684
30/01/2025,Adult,Rotunda Hospital,201,41,17,15,274
30/01/2025,Adult,Royal Victoria Eye and Ear Hospital,"1,978",575,293,143,"2,989"
30/01/2025,Adult,Sligo University Hospital,"1,699",600,253,175,"2,726"
30/01/2025,Adult,South Infirmary Victoria University Hospital,"2,433",932,382,518,"4,265"
30/01/2025,Adult,St. Columcille's Hospital,266,49,41,2,358
30/01/2025,Adult,St. James's Hospital,"3,178","1,284",510,516,"5,487"
30/01/2025,Adult,St. John's Hospital Limerick,576,158,12,0,746
30/01/2025,Adult,St. Luke's General Hospital Kilkenny,514,116,43,58,731
30/01/2025,Adult,St. Michael's Hospital,963,256,41,31,"1,290"
30/01/2025,Adult,St. Vincent's University Hospital,"2,850",724,206,298,"4,078"
30/01/2025,Adult,Tallaght University Hospital,"2,963",885,336,220,"4,403"
30/01/2025,Adult,Tipperary University Hospital,324,45,9,0,377
30/01/2025,Adult,University Hospital Kerry,383,36,2,0,421
30/01/2025,Adult,University Hospital Limerick,"1,606",709,339,96,"2,750"
30/01/2025,Adult,University Hospital Waterford,"2,704",910,413,852,"4,879"
30/01/2025,Adult,Wexford General Hospital,671,94,32,22,819
30/01/2025,Child,Beaumont Hospital,3,2,0,0,5
30/01/2025,Child,Cavan General Hospital,14,1,0,0,15
30/01/2025,Child,Children's Health Ireland,"3,075","1,434",781,877,"6,167"
30/01/2025,Child,Cork University Hospital,215,111,59,30,414
30/01/2025,Child,Cork University Maternity Hospital,3,0,0,0,3
30/01/2025,Child,Croom Orthopaedic Hospital,1,0,0,0,1
30/01/2025,Child,Ennis Hospital,9,1,0,0,10
30/01/2025,Child,Galway University Hospitals,401,209,138,80,827
30/01/2025,Child,Letterkenny University Hospital,33,16,0,2,51
30/01/2025,Child,Mayo University Hospital,3,1,0,0,4
30/01/2025,Child,Midland Regional Hospital Mullingar,38,15,0,0,53
30/01/2025,Child,Midland Regional Hospital Portlaoise,4,0,0,0,4
30/01/2025,Child,Midland Regional Hospital Tullamore,266,2,0,0,268
30/01/2025,Child,National Orthopaedic Hospital Cappagh,29,7,3,0,39
30/01/2025,Child,Nenagh Hospital,8,0,0,0,8
30/01/2025,Child,Our Lady of Lourdes Hospital Drogheda,33,23,32,2,91
30/01/2025,Child,Portiuncula University Hospital,14,3,0,0,17
30/01/2025,Child,Royal Victoria Eye and Ear Hospital,67,27,13,7,113
30/01/2025,Child,Sligo University Hospital,126,12,8,2,147
30/01/2025,Child,South Infirmary Victoria University Hospital,183,83,14,4,284
30/01/2025,Child,St. Luke's General Hospital Kilkenny,6,0,0,0,6
30/01/2025,Child,Tipperary University Hospital,3,0,0,0,3
30/01/2025,Child,University Hospital Kerry,8,2,0,0,10
30/01/2025,Child,University Hospital Limerick,223,51,58,4,335
30/01/2025,Child,University Hospital Waterford,164,104,54,24,346
30/01/2025,Child,Wexford General Hospital,17,0,0,0,17
27/02/2025,Adult,Bantry General Hospital,225,35,18,27,305
27/02/2025,Adult,Beaumont Hospital,"4,989","2,879",936,559,"9,363"
27/02/2025,Adult,Cavan General Hospital,485,31,9,2,527
27/02/2025,Adult,Connolly Hospital Blanchardstown,"1,309",90,0,0,"1,399"
27/02/2025,Adult,Coombe Women and Infants University Hospital,143,39,4,2,188
27/02/2025,Adult,Cork University Hospital,986,390,175,128,"1,678"
27/02/2025,Adult,Cork University Maternity Hospital,504,91,2,1,598
27/02/2025,Adult,Croom Orthopaedic Hospital,622,6,0,0,628
27/02/2025,Adult,Ennis Hospital,503,111,12,0,626
27/02/2025,Adult,Galway University Hospitals,"6,219","2,585","1,067","1,344","11,214"
27/02/2025,Adult,Kilcreene Regional Orthopaedic Hospital,619,148,8,6,781
27/02/2025,Adult,Letterkenny University Hospital,"1,628",200,69,97,"1,994"
27/02/2025,Adult,Louth County Hospital,549,41,0,0,590
27/02/2025,Adult,Mallow General Hospital,272,109,48,35,463
27/02/2025,Adult,Mater Misericordiae University Hospital,"4,843","1,237",487,856,"7,423"
27/02/2025,Adult,Mayo University Hospital,865,127,26,11,"1,028"
27/02/2025,Adult,Mercy University Hospital,631,88,12,5,736
27/02/2025,Adult,Midland Regional Hospital Mullingar,569,101,47,10,727
27/02/2025,Adult,Midland Regional Hospital Portlaoise,266,59,34,19,378
27/02/2025,Adult,Midland Regional Hospital Tullamore,"1,293",425,31,2,"1,750"
27/02/2025,Adult,Naas General Hospital,230,62,4,2,297
27/02/2025,Adult,National Orthopaedic Hospital Cappagh,"1,625",357,33,0,"2,015"
27/02/2025,Adult,Nenagh Hospital,916,443,38,3,"1,399"
27/02/2025,Adult,Our Lady of Lourdes Hospital Drogheda,682,250,104,2,"1,038"
27/02/2025,Adult,Our Lady's Hospital Navan,831,99,9,2,940
27/02/2025,Adult,Portiuncula University Hospital,436,121,55,7,618
27/02/2025,Adult,Roscommon University Hospital,382,135,103,62,681
27/02/2025,Adult,Rotunda Hospital,244,41,14,21,320
27/02/2025,Adult,Royal Victoria Eye and Ear Hospital,"1,864",452,326,154,"2,796"
27/02/2025,Adult,Sligo University Hospital,"1,868",613,273,202,"2,956"
27/02/2025,Adult,South Infirmary Victoria University Hospital,"2,315",917,399,522,"4,152"
27/02/2025,Adult,St. Columcille's Hospital,332,37,37,5,411
27/02/2025,Adult,St. James's Hospital,"3,338","1,273",566,555,"5,732"
27/02/2025,Adult,St. John's Hospital Limerick,581,126,6,2,716
27/02/2025,Adult,St. Luke's General Hospital Kilkenny,502,127,39,64,731
27/02/2025,Adult,St. Michael's Hospital,"1,112",249,46,29,"1,437"
27/02/2025,Adult,St. Vincent's University Hospital,"2,630",713,193,305,"3,840"
27/02/2025,Adult,Tallaght University Hospital,"3,013",948,373,244,"4,578"
27/02/2025,Adult,Tipperary University Hospital,395,48,12,0,455
27/02/2025,Adult,University Hospital Kerry,325,41,2,0,367
27/02/2025,Adult,University Hospital Limerick,"1,846",690,352,104,"2,992"
27/02/2025,Adult,University Hospital Waterford,"2,845",841,445,850,"4,980"
27/02/2025,Adult,Wexford General Hospital,721,102,27,22,872
27/02/2025,Child,Beaumont Hospital,6,0,0,0,6
27/02/2025,Child,Cavan General Hospital,14,3,0,0,17
27/02/2025,Child,Children's Health Ireland,"3,081","1,359",756,893,"6,089"
27/02/2025,Child,Cork University Hospital,246,113,70,32,461
27/02/2025,Child,Cork University Maternity Hospital,3,0,0,0,3
27/02/2025,Child,Croom Orthopaedic Hospital,2,0,0,0,2
27/02/2025,Child,Ennis Hospital,15,2,0,0,17
27/02/2025,Child,Galway University Hospitals,400,193,138,95,827
27/02/2025,Child,Letterkenny University Hospital,37,15,2,2,56
27/02/2025,Child,Mayo University Hospital,5,1,0,1,8
27/02/2025,Child,Midland Regional Hospital Mullingar,38,18,0,0,56
27/02/2025,Child,Midland Regional Hospital Portlaoise,0,1,0,0,1
27/02/2025,Child,Midland Regional Hospital Tullamore,262,2,0,0,264
27/02/2025,Child,National Orthopaedic Hospital Cappagh,31,4,7,0,42
27/02/2025,Child,Nenagh Hospital,7,0,0,0,7
27/02/2025,Child,Our Lady of Lourdes Hospital Drogheda,33,28,35,2,97
27/02/2025,Child,Portiuncula University Hospital,18,1,0,0,19
27/02/2025,Child,Royal Victoria Eye and Ear Hospital,57,29,16,8,110
27/02/2025,Child,Sligo University Hospital,128,25,7,2,162
27/02/2025,Child,South Infirmary Victoria University Hospital,200,73,16,4,292
27/02/2025,Child,St. Luke's General Hospital Kilkenny,6,0,0,0,6
27/02/2025,Child,Tipperary University Hospital,7,0,0,0,7
27/02/2025,Child,University Hospital Kerry,11,2,0,0,13
27/02/2025,Child,University Hospital Limerick,247,48,50,4,349
27/02/2025,Child,University Hospital Waterford,168,89,57,26,340
27/02/2025,Child,Wexford General Hospital,13,0,0,0,13
27/03/2025,Adult,Bantry General Hospital,196,12,4,2,215
27/03/2025,Adult,Beaumont Hospital,"4,888","2,900","1,063",600,"9,452"
27/03/2025,Adult,Cavan General Hospital,369,27,8,3,407
27/03/2025,Adult,Connolly Hospital Blanchardstown,"1,217",185,0,0,"1,402"
27/03/2025,Adult,Coombe Women and Infants University Hospital,133,29,4,0,166
27/03/2025,Adult,Cork University Hospital,914,400,190,118,"1,621"
27/03/2025,Adult,Cork University Maternity Hospital,508,91,8,0,607
27/03/2025,Adult,Croom Orthopaedic Hospital,640,35,0,0,675
27/03/2025,Adult,Ennis Hospital,475,136,20,0,631
27/03/2025,Adult,Galway University Hospitals,"6,325","2,724","1,062","1,416","11,526"
27/03/2025,Adult,Kilcreene Regional Orthopaedic Hospital,588,156,2,2,747
27/03/2025,Adult,Letterkenny University Hospital,"1,723",259,66,99,"2,147"
27/03/2025,Adult,Louth County Hospital,586,39,0,0,625
27/03/2025,Adult,Mallow General Hospital,250,118,47,38,453
27/03/2025,Adult,Mater Misericordiae University Hospital,"4,773","1,222",508,860,"7,362"
27/03/2025,Adult,Mayo University Hospital,835,157,31,11,"1,033"
27/03/2025,Adult,Mercy University Hospital,640,97,34,19,791
27/03/2025,Adult,Midland Regional Hospital Mullingar,552,85,34,2,673
27/03/2025,Adult,Midland Regional Hospital Portlaoise,252,57,30,18,357
27/03/2025,Adult,Midland Regional Hospital Tullamore,"1,250",481,47,2,"1,780"
27/03/2025,Adult,Naas General Hospital,217,74,7,2,300
27/03/2025,Adult,National Orthopaedic Hospital Cappagh,"1,645",392,26,3,"2,066"
27/03/2025,Adult,Nenagh Hospital,832,474,45,0,"1,350"
27/03/2025,Adult,Our Lady of Lourdes Hospital Drogheda,604,280,107,8,"1,000"
27/03/2025,Adult,Our Lady's Hospital Navan,891,106,0,2,999
27/03/2025,Adult,Portiuncula University Hospital,415,108,58,3,584
27/03/2025,Adult,Roscommon University Hospital,393,168,111,63,734
27/03/2025,Adult,Rotunda Hospital,172,50,18,21,261
27/03/2025,Adult,Royal Victoria Eye and Ear Hospital,"1,916",438,346,163,"2,863"
27/03/2025,Adult,Sligo University Hospital,"1,783",632,291,215,"2,921"
27/03/2025,Adult,South Infirmary Victoria University Hospital,"2,445",870,403,544,"4,262"
27/03/2025,Adult,St. Columcille's Hospital,360,34,33,5,432
27/03/2025,Adult,St. James's Hospital,"3,441","1,237",595,569,"5,842"
27/03/2025,Adult,St. John's Hospital Limerick,660,141,14,1,817
27/03/2025,Adult,St. Luke's General Hospital Kilkenny,518,162,52,68,799
27/03/2025,Adult,St. Michael's Hospital,954,249,51,24,"1,279"
27/03/2025,Adult,St. Vincent's University Hospital,"2,695",697,184,295,"3,870"
27/03/2025,Adult,Tallaght University Hospital,"3,000","1,033",420,272,"4,725"
27/03/2025,Adult,Tipperary University Hospital,350,52,7,0,409
27/03/2025,Adult,University Hospital Kerry,290,50,0,0,340
27/03/2025,Adult,University Hospital Limerick,"1,834",717,384,123,"3,059"
27/03/2025,Adult,University Hospital Waterford,"2,890",837,443,839,"5,009"
27/03/2025,Adult,Wexford General Hospital,761,99,30,24,914
27/03/2025,Child,Beaumont Hospital,2,2,0,0,3
27/03/2025,Child,Cavan General Hospital,18,1,0,0,19
27/03/2025,Child,Children's Health Ireland,"3,134","1,472",817,921,"6,344"
27/03/2025,Child,Cork University Hospital,228,114,71,33,446
27/03/2025,Child,Cork University Maternity Hospital,1,0,0,0,1
27/03/2025,Child,Croom Orthopaedic Hospital,3,0,0,0,3
27/03/2025,Child,Ennis Hospital,5,0,0,0,5
27/03/2025,Child,Galway University Hospitals,426,202,140,107,876
27/03/2025,Child,Letterkenny University Hospital,45,14,1,1,61
27/03/2025,Child,Mayo University Hospital,4,1,0,1,6
27/03/2025,Child,Midland Regional Hospital Mullingar,29,19,0,0,48
27/03/2025,Child,Midland Regional Hospital Portlaoise,2,0,0,0,2
27/03/2025,Child,Midland Regional Hospital Tullamore,227,9,0,0,236
27/03/2025,Child,National Orthopaedic Hospital Cappagh,34,7,8,0,49
27/03/2025,Child,Nenagh Hospital,6,0,0,0,6
27/03/2025,Child,Our Lady of Lourdes Hospital Drogheda,37,27,23,0,87
27/03/2025,Child,Portiuncula University Hospital,14,3,0,0,17
27/03/2025,Child,Royal Victoria Eye and Ear Hospital,48,23,17,8,97
27/03/2025,Child,Sligo University Hospital,145,20,14,4,183
27/03/2025,Child,South Infirmary Victoria University Hospital,186,61,15,4,266
27/03/2025,Child,St. Luke's General Hospital Kilkenny,11,0,0,0,11
27/03/2025,Child,Tipperary University Hospital,7,0,0,0,7
27/03/2025,Child,University Hospital Kerry,7,4,0,0,11
27/03/2025,Child,University Hospital Limerick,279,50,45,5,378
27/03/2025,Child,University Hospital Waterford,176,98,51,33,358
27/03/2025,Child,Wexford General Hospital,15,0,0,0,15
24/04/2025,Adult,Bantry General Hospital,145,19,0,2,165
24/04/2025,Adult,Beaumont Hospital,"4,831","3,032","1,217",609,"9,690"
24/04/2025,Adult,Cavan General Hospital,351,22,2,2,377
24/04/2025,Adult,Connolly Hospital Blanchardstown,"1,229",204,7,2,"1,442"
24/04/2025,Adult,Coombe Women and Infants University Hospital,122,38,1,0,161
24/04/2025,Adult,Cork University Hospital,901,385,171,91,"1,548"
24/04/2025,Adult,Cork University Maternity Hospital,545,100,11,0,656
24/04/2025,Adult,Croom Orthopaedic Hospital,646,68,0,0,714
24/04/2025,Adult,Ennis Hospital,469,210,28,1,707
24/04/2025,Adult,Galway University Hospitals,"6,089","2,835","1,011","1,455","11,390"
24/04/2025,Adult,Kilcreene Regional Orthopaedic Hospital,562,202,3,0,767
24/04/2025,Adult,Letterkenny University Hospital,"1,639",283,72,75,"2,069"
24/04/2025,Adult,Louth County Hospital,552,37,0,0,589
24/04/2025,Adult,Mallow General Hospital,250,116,43,39,448
24/04/2025,Adult,Mater Misericordiae University Hospital,"5,949","1,742",848,"1,874","10,414"
24/04/2025,Adult,Mayo University Hospital,874,139,24,17,"1,055"
24/04/2025,Adult,Mercy University Hospital,690,110,33,12,844
24/04/2025,Adult,Midland Regional Hospital Mullingar,565,90,18,3,676
24/04/2025,Adult,Midland Regional Hospital Portlaoise,288,60,23,25,395
24/04/2025,Adult,Midland Regional Hospital Tullamore,"1,169",545,72,2,"1,788"
24/04/2025,Adult,Naas General Hospital,252,93,10,2,357
