ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
13/05/2021,Adult,Letterkenny University Hospital,"1,046",848,427,455,"2,777"
13/05/2021,Adult,Louth County Hospital,485,97,22,2,606
13/05/2021,Adult,Mallow General Hospital,159,43,13,10,226
13/05/2021,Adult,Mater Misericordiae University Hospital,"2,957",909,469,938,"5,273"
13/05/2021,Adult,Mayo University Hospital,473,205,165,320,"1,164"
13/05/2021,Adult,Mercy University Hospital,513,172,154,201,"1,041"
13/05/2021,Adult,Midland Regional Hospital Mullingar,425,208,96,13,743
13/05/2021,Adult,Midland Regional Hospital Portlaoise,282,141,88,47,558
13/05/2021,Adult,Midland Regional Hospital Tullamore,815,122,100,184,"1,221"
13/05/2021,Adult,Naas General Hospital,165,113,51,21,350
13/05/2021,Adult,National Orthopaedic Hospital Cappagh,"1,087",190,43,15,"1,335"
13/05/2021,Adult,Nenagh Hospital,585,386,539,357,"1,867"
13/05/2021,Adult,Our Lady of Lourdes Hospital Drogheda,457,135,32,0,624
13/05/2021,Adult,Our Lady's Hospital Navan,492,123,53,30,699
13/05/2021,Adult,Portiuncula University Hospital,266,74,80,87,507
13/05/2021,Adult,Roscommon University Hospital,415,189,125,92,822
13/05/2021,Adult,Royal Victoria Eye and Ear Hospital,"1,127",356,178,141,"1,802"
13/05/2021,Adult,Sligo University Hospital,"1,498",481,346,357,"2,683"
13/05/2021,Adult,South Infirmary Victoria University Hospital,"1,830",478,111,135,"2,554"
13/05/2021,Adult,St. Columcille's Hospital,452,149,32,28,662
13/05/2021,Adult,St. James's Hospital,"2,900","1,006",718,"1,345","5,970"
13/05/2021,Adult,St. John's Hospital Limerick,579,267,249,267,"1,363"
13/05/2021,Adult,St. Luke's General Hospital Kilkenny,409,184,131,169,893
13/05/2021,Adult,St. Michael's Hospital,451,109,46,52,659
13/05/2021,Adult,St. Vincent's University Hospital,"1,967",605,303,365,"3,240"
13/05/2021,Adult,Tallaght University Hospital,"1,801",824,482,635,"3,743"
13/05/2021,Adult,Tipperary University Hospital,159,12,2,0,173
13/05/2021,Adult,University Hospital Kerry,275,32,65,16,389
13/05/2021,Adult,University Hospital Limerick,833,416,322,340,"1,911"
13/05/2021,Adult,University Hospital Waterford,"1,791",632,496,"1,028","3,948"
13/05/2021,Adult,Wexford General Hospital,497,295,60,2,854
13/05/2021,Child,Beaumont Hospital,34,27,56,0,117
13/05/2021,Child,Cavan General Hospital,20,2,0,0,22
13/05/2021,Child,Children's Health Ireland,"2,372","1,242",922,"1,038","5,574"
13/05/2021,Child,Cork University Hospital,70,36,21,12,138
13/05/2021,Child,Croom Orthopaedic Hospital,4,2,4,0,10
13/05/2021,Child,Galway University Hospitals,177,71,68,58,375
13/05/2021,Child,Letterkenny University Hospital,27,29,14,20,89
13/05/2021,Child,Mayo University Hospital,6,6,6,2,20
13/05/2021,Child,Mercy University Hospital,56,30,9,6,100
13/05/2021,Child,Midland Regional Hospital Mullingar,21,4,2,2,29
13/05/2021,Child,Midland Regional Hospital Portlaoise,2,4,0,0,6
13/05/2021,Child,Midland Regional Hospital Tullamore,63,4,0,0,67
13/05/2021,Child,National Orthopaedic Hospital Cappagh,154,24,25,2,205
13/05/2021,Child,Nenagh Hospital,18,7,21,10,56
13/05/2021,Child,Our Lady of Lourdes Hospital Drogheda,23,22,38,10,92
13/05/2021,Child,Portiuncula University Hospital,8,6,0,0,14
13/05/2021,Child,Royal Victoria Eye and Ear Hospital,31,21,23,11,85
13/05/2021,Child,Sligo University Hospital,66,34,22,21,142
13/05/2021,Child,Small Volume Hospitals,8,0,0,0,8
13/05/2021,Child,South Infirmary Victoria University Hospital,102,32,16,10,159
13/05/2021,Child,Tipperary University Hospital,10,2,0,0,12
13/05/2021,Child,University Hospital Kerry,14,0,0,2,16
13/05/2021,Child,University Hospital Limerick,57,27,65,54,202
