Archive_Date,Group,Hospital_HIPE,Hospital,Specialty_HIPE1,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
25/02/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2604,Vascular Surgery,Adult,65+, 6-9 Months,51
25/02/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2604,Vascular Surgery,Adult,65+,15-18 Months,37
25/02/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,2604,Vascular Surgery,Adult,65+,18 Months +,278
25/02/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Adult,16-64, 6-9 Months,125
25/02/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Adult,16-64, 9-12 Months,80
25/02/2021,Dublin Midlands Hospital Group,0203,Midland Regional Hospital Tullamore,5000,General Medicine,Adult,16-64,15-18 Months,99
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0100,Cardiology,Adult,65+, 0-3 Months,100
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0100,Cardiology,Adult,65+, 6-9 Months,2
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0300,Dermatology,Adult,0-15, 0-3 Months,6
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0300,Dermatology,Adult,16-64, 3-6 Months,524
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0300,Dermatology,Adult,16-64,12-15 Months,185
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0300,Dermatology,Adult,16-64,15-18 Months,188
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0300,Dermatology,Adult,65+, 9-12 Months,49
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0400,Endocrinology,Adult,0-15, 0-3 Months,1
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0400,Endocrinology,Adult,16-64, 3-6 Months,73
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0400,Endocrinology,Adult,16-64, 6-9 Months,73
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0400,Endocrinology,Adult,16-64,12-15 Months,16
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0400,Endocrinology,Adult,16-64,15-18 Months,11
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0402,Diabetes Mellitus,Adult,16-64, 9-12 Months,20
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0402,Diabetes Mellitus,Adult,16-64,18 Months +,31
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0402,Diabetes Mellitus,Adult,65+, 0-3 Months,19
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0402,Diabetes Mellitus,Adult,65+, 3-6 Months,14
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0402,Diabetes Mellitus,Adult,65+,12-15 Months,8
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0600,Otolaryngology (ENT),Adult,16-64,18 Months +,179
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0600,Otolaryngology (ENT),Adult,65+, 0-3 Months,82
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0600,Otolaryngology (ENT),Adult,65+, 6-9 Months,29
25/02/2021,Dublin Midlands Hospital Group,0904,St. James's Hospital,0600,Otolaryngology (ENT),Adult,65+,15-18 Months,12
28/01/2021,University of Limerick Hospital Group,0300,University Hospital Limerick,1100,Haematology,Adult,65+,12-15 Months,1
28/01/2021,University of Limerick Hospital Group,0300,University Hospital Limerick,1300,Neurology,Adult,16-64,18 Months +,871
28/01/2021,University of Limerick Hospital Group,0300,University Hospital Limerick,1300,Neurology,Adult,65+, 0-3 Months,51
28/01/2021,University of Limerick Hospital Group,0300,University Hospital Limerick,1300,Neurology,Adult,65+, 3-6 Months,44
28/01/2021,University of Limerick Hospital Group,0300,University Hospital Limerick,1300,Neurology,Adult,65+, 6-9 Months,40
