ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/04/2021,Child,South Tipperary General Hospital,255,83,2,0,340
29/04/2021,Child,St. John's Hospital Limerick,5,2,2,0,9
29/04/2021,Child,St. Luke's General Hospital Kilkenny,258,7,2,0,267
29/04/2021,Child,Tallaght University Hospital,39,4,9,4,55
29/04/2021,Child,University Hospital Kerry,390,197,174,350,"1,111"
29/04/2021,Child,University Hospital Limerick,"1,266",702,754,"1,984","4,706"
29/04/2021,Child,University Hospital Waterford,"1,095",554,691,"2,290","4,631"
29/04/2021,Child,Wexford General Hospital,357,24,0,0,380
13/05/2021,Adult,Bantry General Hospital,591,459,207,370,"1,627"
13/05/2021,Adult,Beaumont Hospital,"15,573","4,613","1,369",477,"22,031"
13/05/2021,Adult,Cavan General Hospital,"2,888","1,429",889,704,"5,909"
13/05/2021,Adult,Connolly Hospital Blanchardstown,"5,164","1,897",829,685,"8,574"
13/05/2021,Adult,Coombe Women and Infants University Hospital,"1,398",544,557,362,"2,861"
13/05/2021,Adult,Cork University Hospital,"10,281","6,050","4,071","8,068","28,470"
13/05/2021,Adult,Cork University Maternity Hospital,"1,493",193,30,2,"1,718"
13/05/2021,Adult,Croom Orthopaedic Hospital,"1,521","1,383",741,667,"4,312"
13/05/2021,Adult,Ennis Hospital,526,379,287,699,"1,891"
13/05/2021,Adult,Galway University Hospitals,"16,421","10,447","7,118","16,984","50,969"
13/05/2021,Adult,Letterkenny University Hospital,"6,014","3,338","2,924","5,820","18,096"
13/05/2021,Adult,Louth County Hospital,"1,598",689,321,130,"2,738"
13/05/2021,Adult,Mallow General Hospital,"1,232",696,379,353,"2,660"
13/05/2021,Adult,Mater Misericordiae University Hospital,"19,609","7,683","5,267","12,121","44,679"
13/05/2021,Adult,Mayo University Hospital,"3,722","2,806","1,635","4,269","12,432"
13/05/2021,Adult,Mercy University Hospital,"2,262","1,072",983,"2,214","6,530"
13/05/2021,Adult,Midland Regional Hospital Mullingar,"3,599","2,317","1,661","1,072","8,649"
13/05/2021,Adult,Midland Regional Hospital Portlaoise,"2,200","1,508","1,129","1,682","6,519"
13/05/2021,Adult,Midland Regional Hospital Tullamore,"4,868","3,376","2,283","6,023","16,550"
13/05/2021,Adult,Naas General Hospital,"3,954","2,250","1,704","2,850","10,758"
13/05/2021,Adult,National Orthopaedic Hospital Cappagh,"1,571",441,216,69,"2,297"
