ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/01/2026,Adult,Bantry General Hospital,737,182,5,0,924
29/01/2026,Adult,Beaumont Hospital,"28,044","13,966","4,898","3,709","50,617"
29/01/2026,Adult,Cavan General Hospital,"4,608",218,2,0,"4,829"
29/01/2026,Adult,Connolly Hospital Blanchardstown,"5,898","1,808",344,196,"8,247"
29/01/2026,Adult,Coombe Women and Infants University Hospital,"2,511",992,196,3,"3,701"
29/01/2026,Adult,Cork University Hospital,"14,058","5,006","1,152",236,"20,452"
29/01/2026,Adult,Cork University Maternity Hospital,"2,390",105,8,0,"2,503"
29/01/2026,Adult,Croom Orthopaedic Hospital,"3,243","2,091",606,365,"6,305"
29/01/2026,Adult,Ennis Hospital,402,363,249,316,"1,330"
29/01/2026,Adult,Galway University Hospitals,"25,693","9,654","3,722","5,982","45,051"
29/01/2026,Adult,Letterkenny University Hospital,"9,358","2,888",926,602,"13,775"
29/01/2026,Adult,Louth County Hospital,"1,662",881,291,3,"2,837"
29/01/2026,Adult,Mallow General Hospital,"2,206","1,006",525,187,"3,924"
29/01/2026,Adult,Mater Misericordiae University Hospital,"25,062","10,870","3,402","3,122","42,457"
29/01/2026,Adult,Mayo University Hospital,"4,561","1,655",308,245,"6,768"
29/01/2026,Adult,Mercy University Hospital,"3,487","1,551",460,190,"5,689"
29/01/2026,Adult,Midland Regional Hospital Mullingar,"5,050","1,791",678,"1,125","8,644"
29/01/2026,Adult,Midland Regional Hospital Portlaoise,"3,022",735,296,136,"4,189"
29/01/2026,Adult,Midland Regional Hospital Tullamore,"11,208","5,171",917,48,"17,344"
29/01/2026,Adult,Naas General Hospital,"6,481","3,506","1,613",733,"12,333"
29/01/2026,Adult,National Maternity Hospital (Holles Street),"2,303",949,148,3,"3,403"
29/01/2026,Adult,National Orthopaedic Hospital Cappagh,"1,290",586,473,363,"2,712"
29/01/2026,Adult,Nenagh Hospital,379,342,215,317,"1,253"
29/01/2026,Adult,Our Lady of Lourdes Hospital Drogheda,"9,786","5,192","2,082",788,"17,847"
29/01/2026,Adult,Our Lady's Hospital Navan,"4,276","1,805",311,103,"6,496"
29/01/2026,Adult,Portiuncula University Hospital,"2,203",619,177,5,"3,004"
29/01/2026,Adult,Roscommon University Hospital,"3,219","1,109",22,5,"4,354"
29/01/2026,Adult,Rotunda Hospital,"4,342","1,516",115,2,"5,974"
29/01/2026,Adult,Royal Victoria Eye and Ear Hospital,"7,290","3,961","2,084","1,154","14,489"
29/01/2026,Adult,Sligo University Hospital,"8,614","2,806",942,"1,430","13,792"
29/01/2026,Adult,South Infirmary Victoria University Hospital,"14,794","7,304","3,765","4,826","30,689"
29/01/2026,Adult,St. Columcille's Hospital,"2,156","1,371","1,033","5,585","10,146"
29/01/2026,Adult,St. James's Hospital,"17,075","5,959","1,964","1,115","26,114"
29/01/2026,Adult,St. John's Hospital Limerick,361,212,40,0,613
29/01/2026,Adult,St. Luke's General Hospital Kilkenny,"3,518","1,264",705,546,"6,033"
29/01/2026,Adult,St. Michael's Hospital,"2,874","1,271",598,424,"5,168"
29/01/2026,Adult,St. Vincent's University Hospital,"18,551","8,224","3,838","3,229","33,842"
29/01/2026,Adult,Tallaght University Hospital,"12,546","8,412","2,313",908,"24,178"
29/01/2026,Adult,Tipperary University Hospital,"2,412","1,121",304,184,"4,021"
29/01/2026,Adult,University Hospital Kerry,"6,684","3,035",832,417,"10,968"
29/01/2026,Adult,University Hospital Limerick,"16,955","6,648","1,958",856,"26,417"
29/01/2026,Adult,University Hospital Waterford,"20,809","11,624","5,072","4,304","41,809"
29/01/2026,Adult,Wexford General Hospital,"3,737","1,038",200,4,"4,978"
29/01/2026,Child,Beaumont Hospital,44,5,8,1,59
29/01/2026,Child,Cavan General Hospital,487,16,0,0,503
