ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
30/01/2025,Adult,Bantry General Hospital,593,116,0,0,709
30/01/2025,Adult,Beaumont Hospital,"25,335","12,493","2,601",379,"40,807"
30/01/2025,Adult,Cavan General Hospital,"3,976","1,305",300,11,"5,592"
30/01/2025,Adult,Connolly Hospital Blanchardstown,"5,543",609,1,0,"6,153"
30/01/2025,Adult,Coombe Women and Infants University Hospital,"1,821",617,103,8,"2,549"
30/01/2025,Adult,Cork University Hospital,"11,903","4,423","1,136","2,397","19,859"
30/01/2025,Adult,Cork University Maternity Hospital,"1,697",161,2,0,"1,860"
30/01/2025,Adult,Croom Orthopaedic Hospital,"3,103","1,482",454,329,"5,368"
30/01/2025,Adult,Ennis Hospital,439,295,183,38,955
30/01/2025,Adult,Galway University Hospitals,"22,092","8,166","3,338","4,534","38,130"
30/01/2025,Adult,Letterkenny University Hospital,"9,277","2,659",772,588,"13,295"
30/01/2025,Adult,Louth County Hospital,"1,498",570,2,0,"2,069"
30/01/2025,Adult,Mallow General Hospital,"2,327","1,165",359,339,"4,190"
30/01/2025,Adult,Mater Misericordiae University Hospital,"23,367","7,372","2,817","4,350","37,905"
30/01/2025,Adult,Mayo University Hospital,"3,945","1,192",211,244,"5,592"
30/01/2025,Adult,Mercy University Hospital,"3,066","1,340",392,358,"5,157"
30/01/2025,Adult,Midland Regional Hospital Mullingar,"4,429","1,704",626,800,"7,559"
30/01/2025,Adult,Midland Regional Hospital Portlaoise,"2,754",811,290,192,"4,046"
30/01/2025,Adult,Midland Regional Hospital Tullamore,"9,172","1,853",32,0,"11,056"
30/01/2025,Adult,Naas General Hospital,"6,450","2,136",576,95,"9,258"
30/01/2025,Adult,National Maternity Hospital (Holles Street),"2,103",694,69,4,"2,870"
30/01/2025,Adult,National Orthopaedic Hospital Cappagh,"2,047","1,129",436,230,"3,841"
30/01/2025,Adult,Nenagh Hospital,339,231,180,62,811
30/01/2025,Adult,Our Lady of Lourdes Hospital Drogheda,"8,670","4,286","1,162",243,"14,361"
30/01/2025,Adult,Our Lady's Hospital Navan,"3,822","1,471",163,15,"5,470"
30/01/2025,Adult,Portiuncula University Hospital,"2,100",496,47,2,"2,645"
30/01/2025,Adult,Roscommon University Hospital,"2,379",548,138,77,"3,143"
30/01/2025,Adult,Rotunda Hospital,"3,700",886,2,0,"4,588"
30/01/2025,Adult,Royal Victoria Eye and Ear Hospital,"5,753","2,957","1,426","1,270","11,406"
30/01/2025,Adult,Sligo University Hospital,"6,687","2,179",958,"1,040","10,863"
30/01/2025,Adult,South Infirmary Victoria University Hospital,"13,864","8,386","3,657","4,545","30,452"
30/01/2025,Adult,St. Columcille's Hospital,"1,945","1,551",990,"4,727","9,213"
30/01/2025,Adult,St. James's Hospital,"16,451","4,806","1,211",925,"23,393"
30/01/2025,Adult,St. John's Hospital Limerick,312,158,9,1,481
30/01/2025,Adult,St. Luke's General Hospital Kilkenny,"3,446","1,241",628,609,"5,925"
30/01/2025,Adult,St. Michael's Hospital,"2,634","1,221",580,442,"4,877"
30/01/2025,Adult,St. Vincent's University Hospital,"17,778","8,303","3,442","2,003","31,525"
30/01/2025,Adult,Tallaght University Hospital,"15,551","8,485","3,275","1,361","28,673"
30/01/2025,Adult,Tipperary University Hospital,"2,352",813,323,43,"3,530"
30/01/2025,Adult,University Hospital Kerry,"6,129","2,926",546,132,"9,732"
30/01/2025,Adult,University Hospital Limerick,"14,216","4,273","1,509",782,"20,780"
30/01/2025,Adult,University Hospital Waterford,"20,444","10,524","4,634","4,751","40,353"
30/01/2025,Adult,Wexford General Hospital,"2,981",564,25,6,"3,576"
30/01/2025,Child,Beaumont Hospital,48,12,0,0,60
30/01/2025,Child,Cavan General Hospital,501,180,5,0,686
30/01/2025,Child,Children's Health Ireland,"18,285","10,221","4,514","3,515","36,535"
30/01/2025,Child,Coombe Women and Infants University Hospital,21,8,0,0,29
30/01/2025,Child,Cork University Hospital,"2,752","1,222",219,138,"4,331"
30/01/2025,Child,Cork University Maternity Hospital,47,0,0,0,47
30/01/2025,Child,Croom Orthopaedic Hospital,186,23,5,3,216
30/01/2025,Child,Ennis Hospital,53,13,3,0,69
30/01/2025,Child,Galway University Hospitals,"2,785",870,434,726,"4,816"
30/01/2025,Child,Letterkenny University Hospital,980,362,172,98,"1,612"
30/01/2025,Child,Mallow General Hospital,115,136,126,182,559
30/01/2025,Child,Mayo University Hospital,680,143,20,33,876
30/01/2025,Child,Mercy University Hospital,2,0,0,0,2
30/01/2025,Child,Midland Regional Hospital Mullingar,728,276,82,2,"1,087"
30/01/2025,Child,Midland Regional Hospital Portlaoise,864,514,212,49,"1,640"
30/01/2025,Child,Midland Regional Hospital Tullamore,725,515,1,0,"1,241"
30/01/2025,Child,Naas General Hospital,4,0,0,0,4
30/01/2025,Child,National Maternity Hospital (Holles Street),32,2,0,0,34
30/01/2025,Child,National Orthopaedic Hospital Cappagh,98,48,20,12,178
30/01/2025,Child,Nenagh Hospital,15,1,3,0,19
30/01/2025,Child,Our Lady of Lourdes Hospital Drogheda,"1,778","1,196",544,2,"3,520"
30/01/2025,Child,Our Lady's Hospital Navan,4,0,0,0,4
30/01/2025,Child,Portiuncula University Hospital,435,12,0,0,447
30/01/2025,Child,Roscommon University Hospital,97,80,29,8,214
30/01/2025,Child,Rotunda Hospital,9,2,0,0,11
30/01/2025,Child,Royal Victoria Eye and Ear Hospital,204,166,105,78,553
30/01/2025,Child,Sligo University Hospital,"1,037",253,73,110,"1,473"
30/01/2025,Child,South Infirmary Victoria University Hospital,"1,575",952,442,511,"3,480"
30/01/2025,Child,St. Luke's General Hospital Kilkenny,375,14,4,8,401
30/01/2025,Child,Tallaght University Hospital,6,2,1,0,9
30/01/2025,Child,Tipperary University Hospital,322,52,9,2,383
30/01/2025,Child,University Hospital Kerry,704,479,99,6,"1,288"
30/01/2025,Child,University Hospital Limerick,"2,530","1,132",334,195,"4,191"
30/01/2025,Child,University Hospital Waterford,"1,855","1,058",430,298,"3,640"
30/01/2025,Child,Wexford General Hospital,653,324,0,0,977
27/02/2025,Adult,Bantry General Hospital,659,101,10,2,772
27/02/2025,Adult,Beaumont Hospital,"23,880","12,902","3,200",456,"40,437"
27/02/2025,Adult,Cavan General Hospital,"4,044","1,411",265,82,"5,801"
27/02/2025,Adult,Connolly Hospital Blanchardstown,"5,849",647,42,0,"6,538"
27/02/2025,Adult,Coombe Women and Infants University Hospital,"1,877",610,136,8,"2,631"
27/02/2025,Adult,Cork University Hospital,"12,249","4,450","1,272","1,939","19,910"
27/02/2025,Adult,Cork University Maternity Hospital,"1,720",181,3,0,"1,904"
27/02/2025,Adult,Croom Orthopaedic Hospital,"3,206","1,477",479,365,"5,527"
27/02/2025,Adult,Ennis Hospital,434,316,190,45,985
27/02/2025,Adult,Galway University Hospitals,"22,389","8,394","3,612","4,959","39,354"
27/02/2025,Adult,Letterkenny University Hospital,"9,021","2,558",784,485,"12,849"
27/02/2025,Adult,Louth County Hospital,"1,683",652,19,8,"2,361"
27/02/2025,Adult,Mallow General Hospital,"2,386","1,208",348,370,"4,312"
27/02/2025,Adult,Mater Misericordiae University Hospital,"23,849","7,232","2,917","4,255","38,254"
27/02/2025,Adult,Mayo University Hospital,"3,853","1,221",259,222,"5,554"
27/02/2025,Adult,Mercy University Hospital,"3,180","1,321",478,334,"5,314"
27/02/2025,Adult,Midland Regional Hospital Mullingar,"4,656","1,733",629,816,"7,834"
27/02/2025,Adult,Midland Regional Hospital Portlaoise,"2,699",928,296,197,"4,121"
27/02/2025,Adult,Midland Regional Hospital Tullamore,"9,664","2,015",42,0,"11,720"
27/02/2025,Adult,Naas General Hospital,"6,560","2,286",675,101,"9,621"
27/02/2025,Adult,National Maternity Hospital (Holles Street),"2,147",690,77,1,"2,915"
27/02/2025,Adult,National Orthopaedic Hospital Cappagh,"1,973","1,015",474,228,"3,690"
27/02/2025,Adult,Nenagh Hospital,359,245,199,70,873
27/02/2025,Adult,Our Lady of Lourdes Hospital Drogheda,"8,998","4,513","1,304",299,"15,114"
27/02/2025,Adult,Our Lady's Hospital Navan,"3,945","1,546",211,13,"5,715"
27/02/2025,Adult,Portiuncula University Hospital,"2,193",497,39,4,"2,733"
27/02/2025,Adult,Roscommon University Hospital,"2,547",563,108,56,"3,274"
27/02/2025,Adult,Rotunda Hospital,"3,812",887,3,0,"4,702"
27/02/2025,Adult,Royal Victoria Eye and Ear Hospital,"6,084","3,022","1,406","1,238","11,750"
27/02/2025,Adult,Sligo University Hospital,"6,835","2,173",980,"1,062","11,050"
27/02/2025,Adult,South Infirmary Victoria University Hospital,"13,977","8,193","3,608","4,645","30,423"
27/02/2025,Adult,St. Columcille's Hospital,"2,002","1,474",987,"4,766","9,229"
27/02/2025,Adult,St. James's Hospital,"16,801","4,895","1,320",934,"23,950"
27/02/2025,Adult,St. John's Hospital Limerick,310,167,7,2,486
27/02/2025,Adult,St. Luke's General Hospital Kilkenny,"3,637","1,239",578,625,"6,079"
27/02/2025,Adult,St. Michael's Hospital,"2,698","1,181",562,411,"4,852"
27/02/2025,Adult,St. Vincent's University Hospital,"17,616","8,214","3,609","2,127","31,567"
27/02/2025,Adult,Tallaght University Hospital,"14,720","8,227","3,032","1,278","27,257"
27/02/2025,Adult,Tipperary University Hospital,"2,363",827,350,61,"3,600"
27/02/2025,Adult,University Hospital Kerry,"6,187","2,921",622,116,"9,847"
27/02/2025,Adult,University Hospital Limerick,"14,634","4,268","1,651",799,"21,352"
27/02/2025,Adult,University Hospital Waterford,"20,481","10,475","4,745","4,841","40,542"
27/02/2025,Adult,Wexford General Hospital,"3,148",648,35,8,"3,838"
27/02/2025,Child,Beaumont Hospital,44,12,0,0,56
27/02/2025,Child,Cavan General Hospital,503,191,5,0,699
27/02/2025,Child,Children's Health Ireland,"18,256","9,740","4,620","3,496","36,113"
27/02/2025,Child,Coombe Women and Infants University Hospital,29,2,0,0,31
27/02/2025,Child,Cork University Hospital,"2,784","1,130",285,141,"4,339"
27/02/2025,Child,Cork University Maternity Hospital,45,0,0,0,45
27/02/2025,Child,Croom Orthopaedic Hospital,200,19,4,2,224
27/02/2025,Child,Ennis Hospital,47,18,3,0,68
27/02/2025,Child,Galway University Hospitals,"2,848",834,441,751,"4,874"
27/02/2025,Child,Letterkenny University Hospital,"1,046",299,193,81,"1,620"
27/02/2025,Child,Mallow General Hospital,120,115,130,190,555
27/02/2025,Child,Mayo University Hospital,702,149,27,33,910
27/02/2025,Child,Mercy University Hospital,2,0,0,0,2
27/02/2025,Child,Midland Regional Hospital Mullingar,764,265,69,1,"1,100"
27/02/2025,Child,Midland Regional Hospital Portlaoise,864,517,270,53,"1,704"
27/02/2025,Child,Midland Regional Hospital Tullamore,752,458,9,0,"1,218"
27/02/2025,Child,Naas General Hospital,5,0,0,0,5
27/02/2025,Child,National Maternity Hospital (Holles Street),33,0,0,0,33
27/02/2025,Child,National Orthopaedic Hospital Cappagh,114,54,16,13,197
27/02/2025,Child,Nenagh Hospital,16,1,1,1,19
27/02/2025,Child,Our Lady of Lourdes Hospital Drogheda,"1,922","1,223",625,5,"3,774"
27/02/2025,Child,Our Lady's Hospital Navan,2,0,0,0,2
27/02/2025,Child,Portiuncula University Hospital,449,13,0,0,462
27/02/2025,Child,Roscommon University Hospital,113,84,13,2,211
27/02/2025,Child,Rotunda Hospital,17,0,0,0,17
27/02/2025,Child,Royal Victoria Eye and Ear Hospital,213,169,108,78,568
27/02/2025,Child,Sligo University Hospital,"1,169",259,80,111,"1,619"
27/02/2025,Child,South Infirmary Victoria University Hospital,"1,647",910,487,538,"3,582"
27/02/2025,Child,St. Luke's General Hospital Kilkenny,430,14,4,10,458
27/02/2025,Child,Tallaght University Hospital,6,1,3,0,10
27/02/2025,Child,Tipperary University Hospital,332,46,15,1,395
27/02/2025,Child,University Hospital Kerry,712,455,116,7,"1,290"
27/02/2025,Child,University Hospital Limerick,"2,474","1,135",383,205,"4,197"
