ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
26/01/2023,Adult,Bantry General Hospital,527,179,64,2,772
26/01/2023,Adult,Beaumont Hospital,"21,651","7,237",212,11,"29,110"
26/01/2023,Adult,Cavan General Hospital,"3,957","2,824",268,4,"7,052"
26/01/2023,Adult,Connolly Hospital Blanchardstown,"4,324",530,54,4,"4,911"
26/01/2023,Adult,Coombe Women and Infants University Hospital,"1,878",809,329,305,"3,321"
26/01/2023,Adult,Cork University Hospital,"13,060","6,364","4,433","7,597","31,454"
26/01/2023,Adult,Cork University Maternity Hospital,"1,700",312,48,24,"2,084"
26/01/2023,Adult,Croom Orthopaedic Hospital,"1,971","1,153",518,632,"4,274"
26/01/2023,Adult,Ennis Hospital,447,313,77,24,861
26/01/2023,Adult,Galway University Hospitals,"18,224","10,002","6,535","13,465","48,226"
26/01/2023,Adult,Letterkenny University Hospital,"7,200","2,857","1,481","3,593","15,130"
26/01/2023,Adult,Louth County Hospital,"1,988",898,185,105,"3,176"
26/01/2023,Adult,Mallow General Hospital,"1,992",747,240,230,"3,209"
26/01/2023,Adult,Mater Misericordiae University Hospital,"20,926","6,418","2,878","7,925","38,147"
26/01/2023,Adult,Mayo University Hospital,"4,314","1,995",719,"1,840","8,868"
26/01/2023,Adult,Mercy University Hospital,"2,732","1,232",597,"1,761","6,322"
26/01/2023,Adult,Midland Regional Hospital Mullingar,"3,996","2,481","1,347","1,250","9,074"
26/01/2023,Adult,Midland Regional Hospital Portlaoise,"2,159","1,230",717,543,"4,649"
26/01/2023,Adult,Midland Regional Hospital Tullamore,"7,265","3,757","1,046",402,"12,470"
26/01/2023,Adult,Naas General Hospital,"5,248","2,044",875,631,"8,798"
26/01/2023,Adult,National Maternity Hospital (Holles Street),"2,051",164,11,2,"2,228"
26/01/2023,Adult,National Orthopaedic Hospital Cappagh,"2,749",923,105,27,"3,804"
26/01/2023,Adult,Nenagh Hospital,316,181,65,23,585
26/01/2023,Adult,Our Lady of Lourdes Hospital Drogheda,"6,649","3,628",805,211,"11,293"
26/01/2023,Adult,Our Lady's Hospital Navan,"2,948","1,225",527,"1,176","5,876"
26/01/2023,Adult,Portiuncula University Hospital,"1,867",678,258,579,"3,381"
26/01/2023,Adult,Roscommon University Hospital,"2,882","1,383",629,"1,384","6,278"
26/01/2023,Adult,Rotunda Hospital,"2,446",241,2,0,"2,689"
26/01/2023,Adult,Royal Victoria Eye and Ear Hospital,"4,738","2,829","1,574","3,609","12,750"
26/01/2023,Adult,Sligo University Hospital,"7,440","3,582","1,846","2,441","15,309"
26/01/2023,Adult,South Infirmary Victoria University Hospital,"9,365","5,016","2,409","5,857","22,647"
26/01/2023,Adult,St. Columcille's Hospital,"2,197","1,847","1,156","2,478","7,677"
26/01/2023,Adult,St. James's Hospital,"14,567","4,517","1,779","1,915","22,778"
26/01/2023,Adult,St. John's Hospital Limerick,608,322,207,289,"1,426"
26/01/2023,Adult,St. Luke's General Hospital Kilkenny,"3,060","1,136",116,28,"4,339"
26/01/2023,Adult,St. Michael's Hospital,"2,802",743,189,164,"3,898"
26/01/2023,Adult,St. Vincent's University Hospital,"16,574","4,811","1,305","1,117","23,806"
26/01/2023,Adult,Tallaght University Hospital,"12,544","9,741","5,557","9,359","37,201"
26/01/2023,Adult,Tipperary University Hospital,"1,966",819,313,196,"3,293"
26/01/2023,Adult,University Hospital Kerry,"4,968","1,604",860,270,"7,701"
26/01/2023,Adult,University Hospital Limerick,"13,114","6,246","3,874","5,786","29,019"
26/01/2023,Adult,University Hospital Waterford,"14,854","7,860","3,779","5,578","32,070"
26/01/2023,Adult,Wexford General Hospital,"2,671",803,114,5,"3,593"
26/01/2023,Child,Beaumont Hospital,62,21,2,0,85
26/01/2023,Child,Cavan General Hospital,893,280,4,2,"1,178"
26/01/2023,Child,Children's Health Ireland,"19,761","10,806","5,108","8,239","43,914"
26/01/2023,Child,Coombe Women and Infants University Hospital,25,2,0,0,27
26/01/2023,Child,Cork University Hospital,"2,850","1,493",490,620,"5,453"
