ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
25/01/2024,Child,South Infirmary Victoria University Hospital,"1,412",914,189,274,"2,789"
25/01/2024,Child,St. John's Hospital Limerick,3,1,0,0,4
25/01/2024,Child,St. Luke's General Hospital Kilkenny,392,32,9,2,435
25/01/2024,Child,Tallaght University Hospital,25,4,0,0,29
25/01/2024,Child,Tipperary University Hospital,312,41,2,0,355
25/01/2024,Child,University Hospital Kerry,712,251,42,0,"1,004"
25/01/2024,Child,University Hospital Limerick,"2,489",899,202,111,"3,701"
25/01/2024,Child,University Hospital Waterford,"1,875","1,171",222,305,"3,573"
25/01/2024,Child,Wexford General Hospital,577,364,112,0,"1,053"
29/02/2024,Adult,Bantry General Hospital,678,214,76,40,"1,008"
29/02/2024,Adult,Beaumont Hospital,"25,466","10,376","1,341",150,"37,333"
29/02/2024,Adult,Cavan General Hospital,"5,315","2,016",55,0,"7,386"
29/02/2024,Adult,Connolly Hospital Blanchardstown,"4,827",301,0,0,"5,128"
29/02/2024,Adult,Coombe Women and Infants University Hospital,"1,462",895,263,36,"2,655"
29/02/2024,Adult,Cork University Hospital,"14,669","7,393","3,374","5,048","30,484"
29/02/2024,Adult,Cork University Maternity Hospital,"2,281",23,0,0,"2,304"
29/02/2024,Adult,Croom Orthopaedic Hospital,"3,102","1,373",308,91,"4,874"
29/02/2024,Adult,Ennis Hospital,460,373,234,19,"1,086"
29/02/2024,Adult,Galway University Hospitals,"22,013","8,536","4,250","7,699","42,498"
29/02/2024,Adult,Letterkenny University Hospital,"7,795","2,221","1,060","1,660","12,736"
29/02/2024,Adult,Louth County Hospital,"1,580",384,4,0,"1,968"
29/02/2024,Adult,Mallow General Hospital,"2,251",826,282,43,"3,402"
29/02/2024,Adult,Mater Misericordiae University Hospital,"21,994","7,767","3,176","5,191","38,127"
29/02/2024,Adult,Mayo University Hospital,"3,882","1,315",447,427,"6,071"
29/02/2024,Adult,Mercy University Hospital,"3,025","1,358",557,846,"5,786"
29/02/2024,Adult,Midland Regional Hospital Mullingar,"4,531","1,684","1,011","1,073","8,299"
29/02/2024,Adult,Midland Regional Hospital Portlaoise,"2,232","1,075",455,453,"4,214"
29/02/2024,Adult,Midland Regional Hospital Tullamore,"8,115","2,151",238,0,"10,504"
29/02/2024,Adult,Naas General Hospital,"6,312","2,820",708,152,"9,992"
29/02/2024,Adult,National Maternity Hospital (Holles Street),"2,452",608,36,2,"3,097"
29/02/2024,Adult,National Orthopaedic Hospital Cappagh,"3,009","1,804",578,181,"5,571"
29/02/2024,Adult,Nenagh Hospital,337,260,207,33,837
29/02/2024,Adult,Our Lady of Lourdes Hospital Drogheda,"8,228","2,990",233,91,"11,542"
29/02/2024,Adult,Our Lady's Hospital Navan,"3,432","2,009",552,239,"6,232"
29/02/2024,Adult,Portiuncula University Hospital,"1,872",358,135,99,"2,463"
29/02/2024,Adult,Roscommon University Hospital,"2,172",780,180,222,"3,354"
29/02/2024,Adult,Rotunda Hospital,"3,659",671,0,0,"4,330"
29/02/2024,Adult,Royal Victoria Eye and Ear Hospital,"5,674","2,782","1,719","1,906","12,081"
29/02/2024,Adult,Sligo University Hospital,"7,277","2,262","1,078","1,429","12,046"
29/02/2024,Adult,South Infirmary Victoria University Hospital,"11,222","6,377","2,645","4,056","24,299"
29/02/2024,Adult,St. Columcille's Hospital,"2,086","1,542","1,226","3,831","8,685"
29/02/2024,Adult,St. James's Hospital,"16,853","4,923","1,266","1,277","24,318"
29/02/2024,Adult,St. John's Hospital Limerick,442,270,22,4,738
29/02/2024,Adult,St. Luke's General Hospital Kilkenny,"3,523","1,346",404,141,"5,415"
29/02/2024,Adult,St. Michael's Hospital,"2,633",861,339,281,"4,114"
29/02/2024,Adult,St. Vincent's University Hospital,"17,795","7,409","2,166",651,"28,021"
29/02/2024,Adult,Tallaght University Hospital,"14,499","8,845","4,241","3,978","31,564"
29/02/2024,Adult,Tipperary University Hospital,"2,264",886,171,33,"3,354"
29/02/2024,Adult,University Hospital Kerry,"5,998","2,611",750,153,"9,512"
29/02/2024,Adult,University Hospital Limerick,"14,204","4,490","1,295",831,"20,821"
29/02/2024,Adult,University Hospital Waterford,"17,815","9,144","3,742","4,857","35,558"
29/02/2024,Adult,Wexford General Hospital,"2,733",826,252,89,"3,900"
29/02/2024,Child,Beaumont Hospital,51,6,1,0,58
29/02/2024,Child,Cavan General Hospital,846,278,7,0,"1,131"
29/02/2024,Child,Children's Health Ireland,"19,057","11,063","5,687","4,650","40,457"
29/02/2024,Child,Coombe Women and Infants University Hospital,33,15,6,0,54
29/02/2024,Child,Cork University Hospital,"3,228","1,612",477,383,"5,701"
29/02/2024,Child,Cork University Maternity Hospital,46,0,0,0,46
29/02/2024,Child,Croom Orthopaedic Hospital,179,15,3,2,198
29/02/2024,Child,Ennis Hospital,31,10,3,0,43
29/02/2024,Child,Galway University Hospitals,"3,039","1,255",482,935,"5,711"
29/02/2024,Child,Letterkenny University Hospital,"1,084",380,243,283,"1,990"
29/02/2024,Child,Mallow General Hospital,229,170,97,4,500
29/02/2024,Child,Mayo University Hospital,705,106,59,42,912
29/02/2024,Child,Mercy University Hospital,195,77,5,2,279
29/02/2024,Child,Midland Regional Hospital Mullingar,949,276,142,99,"1,466"
29/02/2024,Child,Midland Regional Hospital Portlaoise,656,374,152,43,"1,224"
29/02/2024,Child,Midland Regional Hospital Tullamore,985,264,22,0,"1,271"
29/02/2024,Child,Naas General Hospital,3,0,0,0,3
29/02/2024,Child,National Maternity Hospital (Holles Street),42,19,1,0,62
29/02/2024,Child,National Orthopaedic Hospital Cappagh,118,66,48,25,257
29/02/2024,Child,Nenagh Hospital,6,2,2,0,10
29/02/2024,Child,Our Lady of Lourdes Hospital Drogheda,"2,331","1,255",182,9,"3,777"
29/02/2024,Child,Our Lady's Hospital Navan,1,1,0,0,2
29/02/2024,Child,Portiuncula University Hospital,324,42,8,1,376
29/02/2024,Child,Rotunda Hospital,23,0,0,0,23
29/02/2024,Child,Royal Victoria Eye and Ear Hospital,301,201,80,66,648
29/02/2024,Child,Sligo University Hospital,"1,121",121,67,76,"1,385"
