ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
27/01/2022,Adult,Bantry General Hospital,634,309,209,207,"1,359"
27/01/2022,Adult,Beaumont Hospital,"18,302","5,357",276,132,"24,066"
27/01/2022,Adult,Cavan General Hospital,"3,498","1,724",376,360,"5,958"
27/01/2022,Adult,Connolly Hospital Blanchardstown,"4,371",762,54,17,"5,203"
27/01/2022,Adult,Coombe Women and Infants University Hospital,"1,583",563,286,353,"2,785"
27/01/2022,Adult,Cork University Hospital,"11,993","6,767","4,133","9,463","32,355"
27/01/2022,Adult,Cork University Maternity Hospital,"1,618",528,150,18,"2,314"
27/01/2022,Adult,Croom Orthopaedic Hospital,"1,748","1,469",951,798,"4,966"
27/01/2022,Adult,Ennis Hospital,613,434,317,726,"2,090"
27/01/2022,Adult,Galway University Hospitals,"17,791","9,736","6,830","16,909","51,265"
27/01/2022,Adult,Letterkenny University Hospital,"7,111","2,996","2,200","4,355","16,661"
27/01/2022,Adult,Louth County Hospital,"1,470",634,391,167,"2,662"
27/01/2022,Adult,Mallow General Hospital,"1,565",669,366,289,"2,889"
27/01/2022,Adult,Mater Misericordiae University Hospital,"20,682","8,068","4,309","9,079","42,137"
27/01/2022,Adult,Mayo University Hospital,"4,160","2,854","2,277","3,151","12,442"
27/01/2022,Adult,Mercy University Hospital,"2,617","1,207",861,"2,536","7,220"
27/01/2022,Adult,Midland Regional Hospital Mullingar,"3,868","2,478","1,402","1,167","8,915"
27/01/2022,Adult,Midland Regional Hospital Portlaoise,"2,188","1,042",901,"1,209","5,340"
27/01/2022,Adult,Midland Regional Hospital Tullamore,"5,727","2,932","1,900","3,719","14,278"
27/01/2022,Adult,Naas General Hospital,"4,601","1,805","1,034","2,108","9,548"
27/01/2022,Adult,National Orthopaedic Hospital Cappagh,"1,990",403,168,67,"2,628"
27/01/2022,Adult,Nenagh Hospital,395,265,253,153,"1,066"
27/01/2022,Adult,Our Lady of Lourdes Hospital Drogheda,"5,673","3,277","1,130",476,"10,555"
27/01/2022,Adult,Our Lady's Hospital Navan,"2,784","1,402","1,055","2,405","7,646"
27/01/2022,Adult,Portiuncula University Hospital,"1,740",782,405,941,"3,868"
27/01/2022,Adult,Roscommon University Hospital,"2,690","1,187",921,"1,903","6,701"
27/01/2022,Adult,Rotunda Hospital,"2,051",703,17,2,"2,773"
27/01/2022,Adult,Royal Victoria Eye and Ear Hospital,"4,045","2,547","1,811","6,894","15,297"
27/01/2022,Adult,Sligo University Hospital,"6,613","3,733","2,634","4,211","17,191"
27/01/2022,Adult,South Infirmary Victoria University Hospital,"8,088","3,694","2,157","6,913","20,852"
27/01/2022,Adult,St. Columcille's Hospital,"2,044","1,263",797,"1,958","6,061"
